type,distance_sq,n_measures,distance,normalized_contribution,type_similarity
Component Measure,1.843406171538199,14,1.3577209475949759,0.23227955829203517,0.42413840408894155
Link Measure,0.7668319571018244,8,0.8756894181739462,0.09662514481613128,0.5331373042417318
Global Network Measure,0.146208991651,7,0.3823728437677027,0.01842315628718963,0.7233938401701143
Triad Census,0.0732176461337015,48,0.27058759419770434,0.009225835719605707,0.7870374341498563
K-Core Decomposition,0.5328126020160001,18,0.7299401359125282,0.0671373882541772,0.5780546848070606
S-Core Decomposition,0.5375793923060003,183,0.7331980580347989,0.06773803067369784,0.576968105499644
Community Structure,0.08026367756000004,45,0.2833084495033638,0.01011367535727316,0.7792358886026167
Degree Measures,1.0996061973672102,8,1.0486210933255207,0.13855657302400828,0.48813321470624077
Local Reach,0.6759093208281799,3,0.822137045040655,0.08516838063769375,0.5488061409660262
Local Structure,0.7667086794694421,9,0.8756190264432598,0.09660961114024413,0.5331573128133072
Influence,1.4136086144171944,5,1.1889527385128453,0.17812264579794354,0.4568394659262452
