type,distance_sq,n_measures,distance,normalized_contribution,type_similarity
Component Measure,1.843406171538199,14,1.3577209475949759,0.23538345900555635,0.42413840408894155
Link Measure,0.7668319571018244,8,0.8756894181739462,0.09791632540104443,0.5331373042417318
Global Network Measure,0.21319557419200003,7,0.46173106262412106,0.027222818537118477,0.684120373144965
Triad Census,7.444600913363056e-6,48,0.0027284795973880867,9.505967490827664e-7,0.9972789447463548
K-Core Decomposition,0.5328126020160001,18,0.7299401359125282,0.06803453042561224,0.5780546848070606
S-Core Decomposition,0.5375793923060003,183,0.7331980580347989,0.06864319909784419,0.576968105499644
Community Structure,0.15494255449900007,42,0.39362743108045717,0.019784524424532563,0.717551892061077
Degree Measures,0.8510903235847147,8,0.9225455672131945,0.10867522707942562,0.520143718335654
Local Reach,0.6731715854220699,3,0.8204703440235179,0.08595688716213984,0.549308591201682
Local Structure,0.8418171971969172,9,0.9175059657554915,0.10749114697887234,0.5215107633868576
Influence,1.4166477989833761,5,1.1902301453850748,0.18089093129110492,0.45657302366468216
