node,community,in_degree,out_degree,total_degree,in_degree_in_group,out_degree_in_group,total_degree_in_group,in_degree_between,out_degree_between,total_degree_between,weighted_in_degree,weighted_out_degree,weighted_total_degree,weighted_in_degree_in_group,weighted_out_degree_in_group,weighted_total_degree_in_group,weighted_in_degree_between,weighted_out_degree_between,weighted_total_degree_between,in_group_indegree_ratio,in_group_outdegree_ratio,in_group_indegree_strength_fraction,in_group_outdegree_strength_fraction,k_core_in,k_core_out,k_core_undirected,s_core_in,s_core_out,s_core_undirected,in_reach_2,out_reach_2,undirected_reach_2,out_degree_normalized,in_degree_normalized,in_out_ratio,weighted_in_out_ratio,ego_density,density_clustering_coefficient,cg_cycle,cg_middleman,cg_in,cg_out,cg_total,barrat_local,r_norm_ranked,page_rank,salsa_hub,salsa_authority,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized,in_reach_2_normalized,out_reach_2_normalized
8775672,13,0,37,37,0,28,28,0,9,9,0.0,48.0,48.0,0.0,38.0,38.0,0.0,10.0,10.0,0.0,0.7567567567567568,0.0,0.7916666666666666,0,2,11,0.0,29.0,43.0,1,474,499,0.001150361884676221,0.0,0.0,0.0,0.0945945945945946,0.07012417823228634,0.0,0.0,0.0,0.10185185185185185,0.10185185185185185,0.1869212962962963,0.0,0.0007230305845468362,0.007352941176470582,0.0,0.002252516958743511,0.0,0.000275225006094662,0.0007429420505200594,0.3521545319465082
827343025470738433,1,2,47,49,2,37,39,0,10,10,12.0,70.0,82.0,12.0,57.0,69.0,0.0,13.0,13.0,1.0,0.7872340425531915,1.0,0.8142857142857143,0,1,11,20.0,36.0,56.0,4,219,272,0.001677611081819489,0.00028759047116905527,0.04255319148927116,0.17142857142832651,0.06,0.04081632653061224,0.0,0.8565340909090909,0.0,0.02686335403726708,0.09857723577235772,0.19715447154471544,0.0,0.0008336561725000121,0.007352941176470573,0.0008532423208191158,0.00011942757418176297,0.0,0.00015002244821191995,0.0029717682020802376,0.16270430906389302
19611483,3,0,26,26,0,22,22,0,4,4,0.0,30.0,30.0,0.0,26.0,26.0,0.0,4.0,4.0,0.0,0.8461538461538461,0.0,0.8666666666666667,0,1,6,0.0,22.0,27.0,1,200,232,0.0007189761779226382,0.0,0.0,0.0,0.07834757834757834,0.042899408284023666,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.0007230305845468362,0.007352941176470589,0.0,0.0030110556394661314,0.0,0.0001279603234748729,0.0007429420505200594,0.1485884101040119
28468549,2,10,71,80,7,44,50,3,27,30,27.0,90.0,116.0,18.0,57.0,74.0,9.0,33.0,42.0,0.7,0.6197183098591549,0.6666666666666666,0.6333333333333333,2,2,11,31.0,38.0,61.0,24,486,714,0.0021329626611704933,0.0006231126875329531,0.14084507042233682,0.29999999999966664,0.07535885167464115,0.0625,0.004219409282700422,0.6098964326812428,0.3293269230769231,0.029148347174727245,0.11701652523447968,0.2140289855072464,0.3103448275862069,0.0008609957451446766,0.007352941176470572,0.000853242320819112,0.0,0.005754389828176665,0.00039380892655628986,0.017830609212481426,0.3610698365527489
24112747,45,17,457,473,2,257,258,15,200,215,61.0,868.0,926.0,17.0,476.0,490.0,44.0,392.0,436.0,0.11764705882352941,0.562363238512035,0.2786885245901639,0.5483870967741935,2,2,11,48.0,50.0,70.0,33,714,853,0.0207304797967694,0.0013900206106504337,0.037199124726468885,0.07027649769584443,0.006561247460605062,0.0044064579139709015,0.0015399900645802285,0.24314456035767512,0.13793103448275862,0.0024645874356857018,0.013838120104438642,0.025397681566453858,0.1724137931034483,0.001190740791052566,0.007352941176470511,0.0008532423208191124,0.0,0.06427024772104817,0.00047047481001752833,0.02451708766716196,0.5304606240713224
3837500787,35,12,128,140,0,125,125,12,3,15,21.0,142.0,163.0,0.0,139.0,139.0,21.0,3.0,24.0,0.0,0.9765625,0.0,0.9788732394366197,2,0,11,38.0,44.0,42.0,40,129,894,0.0034031539088338206,0.0005032833245458467,0.09374999999992677,0.14788732394355783,0.009270516717325228,0.002193877551020408,0.0,0.00819672131147541,0.2662337662337662,0.0,0.003508849362228009,0.006090832855188242,0.0,0.0009502524764565807,0.007352941176470589,0.0008532423208191109,0.018704897896850814,0.0,0.0004930884878730016,0.029717682020802376,0.09583952451708767
115684356,3,0,23,23,0,22,22,0,1,1,0.0,27.0,27.0,0.0,26.0,26.0,0.0,1.0,1.0,0.0,0.9565217391304348,0.0,0.9629629629629629,0,1,6,0.0,19.0,24.0,1,53,80,0.0006470785601303743,0.0,0.0,0.0,0.08333333333333333,0.043478260869565216,0.0,0.0,0.0,0.07575757575757576,0.07575757575757576,0.15151515151515152,0.0,0.0007230305845468362,0.007352941176470589,0.0,0.003414250564446608,0.0,4.41242494740941e-5,0.0007429420505200594,0.03937592867756315
81155662,3,17,51,67,10,35,44,7,16,23,39.0,69.0,106.0,22.0,51.0,71.0,17.0,18.0,35.0,0.5882352941176471,0.6862745098039216,0.5641025641025641,0.7391304347826086,2,1,11,46.0,35.0,50.0,34,178,850,0.0016057134640272252,0.000886737286104587,0.3333333333326797,0.5652173913035287,0.05198135198135198,0.036923076923076927,0.0,0.22960932145305005,0.07117117117117117,0.0024367956137678953,0.05661634103019538,0.11102764423076923,0.27586206896551724,0.005781253030130945,0.007352941176470589,0.000853242320819115,0.006906387172787187,0.0,0.0004688201506622498,0.02526002971768202,0.13224368499257058
10126672,1,1,136,137,1,90,91,0,46,46,5.0,223.0,228.0,5.0,158.0,163.0,0.0,65.0,65.0,1.0,0.6617647058823529,1.0,0.7085201793721974,0,2,11,15.0,45.0,69.0,2,592,627,0.005344389589224944,0.00011982936298710636,0.007352941176465183,0.022421524663667078,0.025917698085263938,0.018807608290265863,0.0,0.46179401993355484,0.0,0.05034047500415213,0.055598555211558306,0.11042311661506708,0.0,0.0007546938973343011,0.007352941176470572,0.0008532423208191138,0.0,0.005192245813516128,0.0003458238052532125,0.0014858841010401188,0.4398216939078752
1017578055072604160,2,4,119,122,3,82,84,1,37,38,5.0,150.0,153.0,4.0,104.0,106.0,1.0,46.0,47.0,0.75,0.6890756302521008,0.8,0.6933333333333334,2,2,11,15.0,43.0,58.0,19,634,661,0.003546949144418348,7.189761779226382e-5,0.03361344537812301,0.033333333333311115,0.0259222333000997,0.01738006320022982,0.022813688212927757,0.5779467680608364,0.5,0.02255139755139755,0.03481309701286511,0.05467821361861097,0.20689655172413793,0.000730303471231135,0.00735294117647057,0.0008532423208191113,0.0,0.004837650365228874,0.0003645766112797025,0.01411589895988113,0.4710252600297177
54885400,2,3,189,192,3,143,146,0,46,46,10.0,258.0,268.0,10.0,189.0,199.0,0.0,69.0,69.0,1.0,0.7566137566137566,1.0,0.7325581395348837,2,2,11,16.0,47.0,59.0,5,342,385,0.0061831951301346885,0.00023965872597421273,0.015873015873007476,0.0387596899224656,0.014990355469826399,0.009750692520775624,0.004900113079532605,0.4779494911421033,0.5,0.011535131123206333,0.023643433573675675,0.04138039958935481,0.13793103448275862,0.0007812424752460864,0.007352941176470568,0.0008532423208191129,0.0,0.0024098590588459423,0.00021234795059407786,0.003714710252600297,0.2540861812778603
25930421,2,2,181,183,2,115,117,0,66,66,5.0,259.0,264.0,5.0,157.0,162.0,0.0,102.0,102.0,1.0,0.6353591160220995,1.0,0.6061776061776062,2,2,11,15.0,48.0,63.0,5,787,822,0.00620716100273211,0.00011982936298710636,0.011049723756899974,0.019305019305011852,0.01812276121668387,0.012636976893257226,0.016323633782824698,0.4528034066713982,1.0,0.027541827541827543,0.03371570137819045,0.06045875420875421,0.10344827586206896,0.0007457617301308243,0.007352941176470568,0.0008532423208191144,0.0,0.011459187021204187,0.0004533766633463169,0.003714710252600297,0.5846953937592868
18749026,45,5,155,159,1,107,107,4,48,52,5.0,218.0,222.0,1.0,146.0,146.0,4.0,72.0,76.0,0.2,0.6903225806451613,0.2,0.6697247706422018,1,1,11,15.0,46.0,66.0,8,607,668,0.005200594353640416,9.586349038968509e-5,0.03225806451610822,0.022935779816503243,0.013343545916310571,0.006977970708750862,0.002025658338960162,0.06347062795408508,0.16666666666666666,0.03273997771151471,0.03278664898829769,0.06587191089453533,0.06896551724137931,0.0009889151808394,0.007352941176470567,0.0008532423208191156,0.0,0.010991687269797379,0.00036843748310868576,0.005943536404160475,0.4509658246656761
92611744,13,8,83,91,7,57,64,1,26,27,31.0,109.0,140.0,24.0,70.0,94.0,7.0,39.0,46.0,0.875,0.6867469879518072,0.7741935483870968,0.6422018348623854,2,2,11,44.0,39.0,65.0,23,630,664,0.0026122801131189186,0.0007429420505200594,0.09638554216855857,0.2844036697245097,0.04851889683350358,0.037319214876033055,0.015766423357664233,0.45255474452554745,0.2488479262672811,0.041228462743343026,0.09733704292527821,0.17857142857142858,0.41379310344827586,0.0013920253986513293,0.0073529411764705725,0.0008532423208191126,0.0023010949488951327,0.0,0.000366231270634981,0.017087667161961365,0.46805349182763745
1601766740,36,1,1,2,1,1,2,0,0,0,1.0,2.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,2,1.0,3.0,7.0,2,2,5,4.7931745194842545e-5,2.3965872597421273e-5,0.9999999999,0.499999999975,0.5,0.25,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0005840303536326014,0.007352941176470593,0.0008532423208191161,0.00048708474794567636,0.0,2.757765592130881e-6,0.0014858841010401188,0.0014858841010401188
4068016160,13,0,29,29,0,24,24,0,5,5,0.0,39.0,39.0,0.0,34.0,34.0,0.0,5.0,5.0,0.0,0.8275862068965517,0.0,0.8717948717948718,0,2,8,0.0,26.0,40.0,1,473,498,0.0009346690312994296,0.0,0.0,0.0,0.09885057471264368,0.06777645659928656,0.0,0.0,0.0,0.10531135531135531,0.10531135531135531,0.1987179487179487,0.0,0.0007230305845468362,0.007352941176470581,0.0,0.002649064975600024,0.0,0.0002746734529762358,0.0007429420505200594,0.3514115898959881
78489442,19,6,11,17,4,9,13,2,2,4,14.0,11.0,25.0,11.0,9.0,20.0,3.0,2.0,5.0,0.6666666666666666,0.8181818181818182,0.7857142857142857,0.8181818181818182,1,1,5,31.0,13.0,25.0,16,165,323,0.000263624598571634,0.0003355222163638978,0.5454545454495868,1.2727272727157024,0.10294117647058823,0.04296875,0.018433179723502304,0.12442396313364056,0.17142857142857143,0.00909090909090909,0.07178841309823678,0.12533333333333332,0.4827586206896552,0.0016699372876210902,0.00735294117647059,0.0008532423208191144,0.0016354581127270285,0.0,0.00017815165725165494,0.01188707280832095,0.1225854383358098
2216405453,1,8,196,203,7,107,113,1,89,90,55.0,309.0,355.0,52.0,160.0,203.0,3.0,149.0,152.0,0.875,0.5459183673469388,0.9454545454545454,0.517799352750809,1,2,11,47.0,49.0,71.0,17,657,728,0.007189761779226382,0.0011024301394813784,0.040816326530591425,0.17799352750803302,0.01726515935175607,0.012326427563674167,0.0018073377914332189,0.31031989878908367,0.14492753623188406,0.027895189003436426,0.048754709384256995,0.09576589595375723,0.034482758620689655,0.0011962212994707626,0.007352941176470567,0.000853242320819115,0.0,0.020375467446959283,0.0004015306702142563,0.01263001485884101,0.48811292719167904
269139570,4,0,1,1,0,1,1,0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,0.0,1.0,1.0,1,2,2,2.3965872597421273e-5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005546236778065908,0.007352941176470593,0.0,0.00016331667454894117,0.0,1.1031062368523526e-6,0.0007429420505200594,0.0014858841010401188
1487041979795980289,35,0,6,6,0,6,6,0,0,0,0.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,0.0,10.0,7.0,1,7,8,0.00019172698077937018,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007230305845468362,0.007352941176470594,0.0,0.001107148692209181,0.0,4.41242494740941e-6,0.0007429420505200594,0.005200594353640416
102722975,2,6,41,46,6,36,41,0,5,5,7.0,43.0,49.0,7.0,38.0,44.0,0.0,5.0,5.0,1.0,0.8780487804878049,1.0,0.8837209302325582,2,2,11,22.0,31.0,44.0,11,71,290,0.0010065666490916933,0.00014379523558452764,0.1463414634142772,0.16279069767404,0.13054968287526428,0.10870740941049216,0.013513513513513514,1.0,0.5,0.07203907203907203,0.16856600189933524,0.30009920634920634,0.3448275862068966,0.0007794083155829432,0.007352941176470579,0.0008532423208191149,0.0004787757330139142,0.0,0.00015995040434359112,0.008172362555720654,0.05274888558692422
1478840722518282241,13,4,3,7,3,3,6,1,0,1,6.0,3.0,9.0,5.0,3.0,8.0,1.0,0.0,1.0,0.75,1.0,0.8333333333333334,1.0,2,0,4,27.0,5.0,15.0,20,4,484,7.189761779226382e-5,0.00014379523558452764,1.3333333332888888,1.9999999999333333,0.30357142857142855,0.20408163265306123,0.0,0.4,0.5555555555555556,0.0,0.2962962962962963,0.5185185185185185,0.0,0.0007962099534142531,0.007352941176470598,0.0008532423208191126,0.000622135894344289,0.0,0.0002669517093182693,0.014858841010401188,0.0029717682020802376
111344559,37,0,2,2,0,2,2,0,0,0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,2,0.0,2.0,4.0,1,3,3,4.7931745194842545e-5,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0004592976966967715,0.007352941176470593,0.0,0.00032627842199794976,0.0,1.6546593552785288e-6,0.0007429420505200594,0.002228826151560178
83795099,3,0,24,24,0,23,23,0,1,1,0.0,29.0,29.0,0.0,28.0,28.0,0.0,1.0,1.0,0.0,0.9583333333333334,0.0,0.9655172413793104,0,1,6,0.0,21.0,26.0,1,53,80,0.0006950103053252169,0.0,0.0,0.0,0.08,0.041666666666666664,0.0,0.0,0.0,0.08770614692653673,0.08770614692653673,0.17541229385307347,0.0,0.0007230305845468362,0.00735294117647059,0.0,0.003694808568167951,0.0,4.41242494740941e-5,0.0007429420505200594,0.03937592867756315
1528726698,36,1,2,3,1,2,3,0,0,0,1.0,2.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,2,1.0,3.0,5.0,2,3,5,4.7931745194842545e-5,2.3965872597421273e-5,0.499999999975,0.499999999975,0.4166666666666667,0.2222222222222222,0.0,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0005840303536326014,0.007352941176470593,0.0008532423208191161,0.00048708474794567636,0.0,2.757765592130881e-6,0.0014858841010401188,0.002228826151560178
704224716626780160,37,1,1,2,1,1,2,0,0,0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,2,1.0,1.0,4.0,2,2,3,2.3965872597421273e-5,2.3965872597421273e-5,0.9999999999,0.9999999999,0.5,0.25,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0006692484087987213,0.007352941176470593,0.0008532423208191161,0.00032627842199794976,0.0,1.6546593552785288e-6,0.0014858841010401188,0.0014858841010401188
809841734058393600,36,0,4,4,0,4,4,0,0,0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,2,0.0,5.0,7.0,1,5,5,0.00011982936298710636,0.0,0.0,0.0,0.35,0.1875,0.0,0.0,0.0,0.26666666666666666,0.26666666666666666,0.5333333333333333,0.0,0.0004917543238438599,0.007352941176470593,0.0,0.00081302888643775,0.0,2.757765592130881e-6,0.0007429420505200594,0.003714710252600297
2744294556,1,3,35,38,3,17,20,0,18,18,3.0,41.0,44.0,3.0,20.0,23.0,0.0,21.0,21.0,1.0,0.4857142857142857,1.0,0.4878048780487805,1,2,11,9.0,28.0,46.0,8,621,686,0.0009826007764942722,7.189761779226382e-5,0.08571428571404081,0.0731707317071386,0.10241820768136557,0.07742878013148284,0.0,0.5535714285714286,0.3333333333333333,0.10258249641319943,0.12746305418719212,0.23484848484848486,0.2413793103448276,0.0007484390677557366,0.0073529411764705725,0.000853242320819114,0.0,0.00315660218287217,0.0003783654392403569,0.005943536404160475,0.46136701337295694
1511704288401059840,5,7,15,21,7,14,20,0,1,1,111.0,98.0,178.0,111.0,97.0,177.0,0.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.9897959183673469,1,1,5,54.0,37.0,77.0,8,29,40,0.0016057134640272252,0.0019172698077937018,0.46666666666355555,1.132653061223334,0.1568627450980392,0.09342560553633218,0.045298558682223745,0.38984214138641043,0.2875,0.1113662456946039,0.1939149560117302,0.32568027210884354,0.8275862068965517,0.0027474953489981307,0.007352941176470598,0.0008532423208191163,0.02509747825372255,0.0,2.206212473704705e-5,0.005943536404160475,0.021545319465081723
