triad,AUMC_density,peak_tau,peak_density
003,0.5958603721383596,4.080826420042485,0.9996846307087871
012,0.0006571685900597611,1.2572571465173128,0.0020038048892961472
102,1.2223248975581667e-5,1.2572571465173128,3.381271929842332e-5
021D,1.1443035943003331e-5,1.2572571465173128,4.262976998468376e-5
021U,4.749007326808709e-7,1.2572571465173128,1.548983453895879e-6
021C,2.218859463543622e-6,1.2572571465173128,7.439483912373164e-6
111D,5.6573745000573536e-8,1.2572571465173128,1.4336667782537308e-7
111U,2.4475448834755175e-7,1.2572571465173128,8.259167309505189e-7
030T,4.3864572708191183e-7,1.2572571465173128,1.499116783347923e-6
030C,0.0,1.2572571465173128,0.0
201,3.7184621127137543e-9,1.2572571465173128,9.350000727741723e-9
120D,3.320055457780138e-9,1.2572571465173128,1.5583334546236207e-8
120U,2.669324588055231e-8,1.2572571465173128,9.350000727741724e-8
120C,1.8592310563568771e-9,1.2572571465173128,6.233333818494482e-9
210,1.1952199648008497e-9,1.2572571465173128,3.116666909247241e-9
300,0.0,1.2572571465173128,0.0
