triad,AUMC_density,peak_tau,peak_density
003,0.8929090240219756,7.999999999999999,0.9990265422742893
012,0.007939360933432954,1.0,0.02385131625654453
102,4.2176549831823914e-5,1.0,0.0001869174245728949
021D,0.0021476131754146793,1.0,0.007607273191543691
021U,1.0227191574349938e-5,1.0,3.203953267258548e-5
021C,2.6265563177304406e-5,1.0,0.00012936716965911873
111D,3.7608889537941654e-7,1.0,2.29717404067594e-6
111U,6.050785050660772e-6,1.0,6.172143935605618e-5
030T,7.0031391889602645e-6,1.0,7.671352256888863e-5
030C,6.065949925474459e-9,1.0,1.2090389687768104e-7
201,0.0,1.0,0.0
120D,2.2747312220529223e-7,1.0,7.858753297049268e-7
120U,1.568048055735147e-6,1.0,2.6296597570895626e-5
120C,2.4263799701897836e-8,1.0,4.836155875107241e-7
210,5.762652429200736e-8,1.0,7.858753297049268e-7
300,6.065949925474459e-9,1.0,1.2090389687768104e-7
