type,distance_sq,n_measures,distance,normalized_contribution,type_similarity
Component Measure,0.19651076108675258,14,0.44329534295631007,0.075141201823211,0.6928588835821325
Link Measure,0.5229900214368454,8,0.7231804902213869,0.19997937280881387,0.5803222620466904
Global Network Measure,0.183760213432,6,0.4286726180105279,0.0702656852388583,0.6999504206866735
Triad Census,0.3167601694841041,48,0.5628145071727488,0.12112181385451945,0.6398712037867351
K-Core Decomposition,0.03984437499999999,15,0.19961055833797967,0.015235573903624426,0.8336038667294381
S-Core Decomposition,0.050137750000000036,99,0.22391460425796267,0.01917152409810535,0.8170504678357702
Community Structure,0.15070949999999997,10,0.3882132146127949,0.057627851490412024,0.7203504400287122
Degree Measures,0.23675919118035005,3,0.48657906981327304,0.09053127711478895,0.6726853756427558
Local Reach,0.49317004666903536,1,0.7022606686046395,0.18857689932593993,0.5874540946890997
Local Structure,0.36273659104709866,3,0.6022761750618222,0.13870214153056395,0.6241121322055582
Influence,0.06184121104521626,2,0.24867893164724722,0.023646658811162874,0.8008463782445724
