type,distance_sq,n_measures,distance,normalized_contribution,type_similarity
Component Measure,0.19651076108675258,14,0.44329534295631007,0.0723581354127098,0.6928588835821325
Link Measure,0.5229900214368454,8,0.7231804902213869,0.19257257252144624,0.5803222620466904
Global Network Measure,0.183760213432,6,0.4286726180105279,0.06766319734068484,0.6999504206866735
Triad Census,0.3167601694841041,48,0.5628145071727488,0.11663572574921362,0.6398712037867351
K-Core Decomposition,0.03984437499999999,15,0.19961055833797967,0.014671281438943777,0.8336038667294381
S-Core Decomposition,0.050137750000000036,99,0.22391460425796267,0.018461452613208366,0.8170504678357702
Community Structure,0.15070949999999997,10,0.3882132146127949,0.05549344142109137,0.7203504400287122
Degree Measures,0.2376022004292524,3,0.4874445613905774,0.08748860417586901,0.6722939637260318
Local Reach,0.49317004666903536,1,0.7022606686046395,0.1815924218145838,0.5874540946890997
Local Structure,0.4624811719081081,3,0.6800596826074224,0.17029232942608322,0.5952169499407414
Influence,0.06184121104521626,2,0.24867893164724722,0.022770838086166152,0.8008463782445724
