node,community,total_degree,weighted_total_degree,total_degree_in_group,weighted_total_degree_in_group,total_degree_between,weighted_total_degree_between,in_group_ratio,internal_strength_fraction,k_core_all,s_core_all,undirected_reach_2,total_degree_normalized,ego_density,density_clustering_coefficient,barrat_weighted_clustering,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized
Marines,2,27,423.0,7,211.0,20,212.0,0.25925925925925924,0.4988179669030733,18,83,184,0.0026123205187586845,0.5423280423280423,0.4708994708994709,0.4562647754137116,0.0,0.00848508298128725,0.002818627450980392
PacificOcean,1,12,1248.0,11,1227.0,1,21.0,0.9166666666666666,0.9831730769230769,5,98,132,0.007707271885132006,0.5256410256410257,0.3717948717948718,0.6941287878787878,0.0,0.001127647782121377,0.002022058823529412
FriendsPartnersAllies,2,62,1306.0,43,1005.0,19,301.0,0.6935483870967742,0.7695252679938744,13,92,169,0.008065462405434615,0.13517665130568357,0.10343061955965181,0.17410187532950067,0.0,0.002242090468172142,0.002588848039215686
JointForce,2,20,1004.0,15,705.0,5,299.0,0.75,0.702191235059761,7,93,168,0.006200401420410684,0.38571428571428573,0.2904761904761905,0.5258964143426295,0.0,0.008297334317288185,0.002573529411764706
USMarines,1,1,17.0,1,17.0,0,0.0,1.0,1.0,1,21,132,0.00010498687664041995,1.0,0.0,0.0,0.0,1.8327947734708694e-5,0.002022058823529412
AlwaysReady,2,30,268.0,13,149.0,17,119.0,0.43333333333333335,0.5559701492537313,18,70,178,0.001655087231743091,0.4838709677419355,0.41935483870967744,0.4166237776634071,0.0,0.003971141299166758,0.0027267156862745097
Readiness,1,40,2156.0,22,1973.0,18,183.0,0.55,0.9151205936920223,18,99,153,0.013314806237455613,0.30121951219512194,0.2524390243902439,0.4422125493554065,0.0,0.009229810518179393,0.00234375
IndoPacific,4,37,303.0,24,246.0,13,57.0,0.6486486486486487,0.8118811881188119,18,69,173,0.001871236683649838,0.3357041251778094,0.283072546230441,0.2928126145947928,0.0032698600211241713,0.0,0.002650122549019608
StrongerTogether,1,2,8.0,1,7.0,1,1.0,0.5,0.875,2,12,167,4.9405589007256447e-5,1.0,0.3333333333333333,1.0,0.0,6.676089426216336e-5,0.0025582107843137255
Aircraft,4,18,148.0,13,109.0,5,39.0,0.7222222222222222,0.7364864864864865,18,68,151,0.0009140033966342443,1.0,0.8947368421052632,1.0,0.0006210137857725062,0.0,0.0023131127450980392
Airpower,2,5,120.0,5,120.0,0,0.0,1.0,1.0,5,64,82,0.0007410838351088467,1.0,0.6666666666666666,1.0,0.0015251920333473334,0.0,0.0012561274509803922
BTF,2,15,162.0,14,157.0,1,5.0,0.9333333333333333,0.9691358024691358,6,66,167,0.001000463177396943,0.5166666666666667,0.39166666666666666,0.5119047619047619,0.0017137848473818273,0.0,0.0025582107843137255
ShoulderToShoulder,9,28,74.0,23,56.0,5,18.0,0.8214285714285714,0.7567567567567568,10,33,164,0.00045700169831712213,0.22167487684729065,0.15270935960591134,0.18368368368368368,0.0008758074701168406,0.0,0.0025122549019607845
WeAreNATO,2,6,14.0,6,14.0,0,0.0,1.0,1.0,4,14,66,8.645978076269878e-5,0.7142857142857143,0.42857142857142855,0.6571428571428571,0.00017399332667544787,0.0,0.001011029411764706
SaveApayao,7,2,18.0,2,18.0,0,0.0,1.0,1.0,2,22,14,0.00011116257526632701,1.0,0.3333333333333333,1.0,0.0004399574946949425,0.0,0.0002144607843137255
Lethality,1,7,680.0,7,680.0,0,0.0,1.0,1.0,5,97,132,0.004199475065616798,0.7142857142857143,0.4642857142857143,0.8450980392156863,0.0,0.0002998648871924692,0.002022058823529412
AFPyoucanTRUST,4,5,55.0,3,43.0,2,12.0,0.6,0.7818181818181819,4,44,87,0.00033966342442488806,0.7333333333333333,0.4,0.7181818181818181,0.00041860931082626784,0.0,0.0013327205882352942
Balikatan,8,15,235.0,10,223.0,5,12.0,0.6666666666666666,0.948936170212766,7,78,185,0.001451289177088158,0.36666666666666664,0.24166666666666667,0.08875379939209727,0.005771623841398288,0.0,0.0028339460784313725
BK22,2,7,25.0,3,12.0,4,13.0,0.42857142857142855,0.48,5,21,164,0.0001543924656476764,0.7142857142857143,0.4642857142857143,0.6733333333333333,0.0,0.0005234742906783385,0.0025122549019607845
Oorah,4,18,126.0,13,91.0,5,35.0,0.7222222222222222,0.7222222222222222,18,67,151,0.0007781380268642891,1.0,0.8947368421052632,1.0,0.00039669115627027907,0.0,0.0023131127450980392
VFA22,1,5,10.0,5,10.0,0,0.0,1.0,1.0,5,14,132,6.175698625907056e-5,1.0,0.6666666666666666,1.0,0.0,1.084248721294756e-5,0.002022058823529412
VCA30,1,5,10.0,5,10.0,0,0.0,1.0,1.0,5,14,132,6.175698625907056e-5,1.0,0.6666666666666666,1.0,0.0,1.084248721294756e-5,0.002022058823529412
USSNimitz,1,5,10.0,5,10.0,0,0.0,1.0,1.0,5,14,132,6.175698625907056e-5,1.0,0.6666666666666666,1.0,0.0,1.084248721294756e-5,0.002022058823529412
