triad,AUMC_density,peak_tau,peak_density
003,1.1067008312581545,113.5971402962064,0.9982872133696075
012,0.0,8.595238034338408,0.0
102,0.013913571156286438,8.595238034338408,0.028425573260785077
021D,0.0,8.595238034338408,0.0
021U,0.0,8.595238034338408,0.0
021C,0.0,8.595238034338408,0.0
111D,0.0,8.595238034338408,0.0
111U,0.0,8.595238034338408,0.0
030T,0.0,8.595238034338408,0.0
030C,0.0,8.595238034338408,0.0
201,0.0004124369225568107,8.595238034338408,0.0010275942479595803
120D,0.0,8.595238034338408,0.0
120U,0.0,8.595238034338408,0.0
120C,0.0,8.595238034338408,0.0
210,0.0,8.595238034338408,0.0
300,8.265077979266561e-5,8.595238034338408,0.00021725612125923048
