measure,value
num_nodes,168
num_edges,944
num_wcc,12
num_scc,0
largest_wcc,151
second_largest_wcc,4
min_wcc_size,1
largest_scc,0
second_largest_scc,0
num_isolates,8
num_dyads,1
num_triads,1
num_groups,2
bow_tie_in_size,0
bow_tie_out_size,0
bow_tie_scc_fraction,0.0
bow_tie_in_fraction,0.0
bow_tie_out_fraction,0.0
all_links,"(count = 944, min = 2.0, max = 1750.0, mean = 15.908898305084746, std = 71.99891245981863, sum = 15018.0)"
nonself_links,"(count = 944, min = 2.0, max = 1750.0, mean = 15.908898305084746, std = 71.99891245981863, sum = 15018.0)"
self_loops,"(count = 0, min = NaN, max = NaN, mean = NaN, std = NaN, sum = 0.0)"
degree assortativity,0.402314
transitivity,0.35282
local clustering coefficient,0.844534
density,0.067294
resolution,0.5
modularity,0.636519
