node,community,total_degree,weighted_total_degree,total_degree_in_group,weighted_total_degree_in_group,total_degree_between,weighted_total_degree_between,in_group_ratio,internal_strength_fraction,k_core_all,s_core_all,undirected_reach_2,total_degree_normalized,ego_density,density_clustering_coefficient,barrat_weighted_clustering,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized
Balikatan,9,99,3128.0,8,1140.0,91,1988.0,0.08080808080808081,0.36445012787723785,14,56,143,0.010703165098374679,0.1391919191919192,0.1191919191919192,0.19509107991022495,0.0,0.07490795822536334,0.005096948959224409
FriendsPartnersAllies,7,19,134.0,14,90.0,5,44.0,0.7368421052631579,0.6716417910447762,13,34,130,0.0004585115483319076,0.6052631578947368,0.5052631578947369,0.6525704809286899,6.330226503631353e-5,0.0,0.00463358996293128
ArmedForces,7,3,10.0,3,10.0,0,0.0,1.0,1.0,3,7,83,3.421727972626176e-5,1.0,0.5,1.0,0.00020632468107500967,0.0,0.002958368976333048
FreeandOpenIndoPacific,7,41,620.0,26,404.0,15,216.0,0.6341463414634146,0.6516129032258065,13,44,139,0.0021214713430282293,0.38443670150987225,0.33681765389082463,0.4966935483870968,0.0018183992663583504,0.0,0.0049543769603649845
BalikantShoot,7,69,1000.0,43,800.0,26,200.0,0.6231884057971014,0.8,13,51,143,0.003421727972626176,0.231055900621118,0.20248447204968945,0.5602058823529412,0.012682807464303059,0.0,0.005096948959224409
AFP,7,20,128.0,19,118.0,1,10.0,0.95,0.921875,12,30,129,0.00043798118049615057,0.5857142857142857,0.49047619047619045,0.6299342105263158,0.0020082688103690294,0.0,0.0045979469632164245
AFPyoucanTRUST,1,28,244.0,6,88.0,22,156.0,0.21428571428571427,0.36065573770491804,14,39,137,0.000834901625320787,0.5,0.43103448275862066,0.5941105039465695,0.0013670636009802672,0.0,0.004883090960935272
April,3,25,180.0,13,90.0,12,90.0,0.52,0.5,13,35,135,0.0006159110350727117,0.5538461538461539,0.47692307692307695,0.6208333333333333,0.0030449023799786756,0.0,0.00481180496150556
ActNow,9,2,4.0,2,4.0,0,0.0,1.0,1.0,2,2,100,1.3686911890504705e-5,1.0,0.3333333333333333,1.0,5.7194624445311426e-5,0.0,0.0035642999714856002
AMRDEC,1,11,70.0,5,42.0,6,28.0,0.45454545454545453,0.6,10,27,124,0.00023952095808383233,0.9393939393939394,0.7727272727272727,0.9771428571428571,0.0017454126657272528,0.0,0.0044197319646421445
Army,1,11,70.0,5,42.0,6,28.0,0.45454545454545453,0.6,10,27,124,0.00023952095808383233,0.9393939393939394,0.7727272727272727,0.9771428571428571,0.0017454126657272528,0.0,0.0044197319646421445
AsiaPacific,2,6,36.0,5,34.0,1,2.0,0.8333333333333334,0.9444444444444444,5,17,106,0.00012318220701454234,0.8571428571428571,0.5714285714285714,0.9333333333333333,0.0007151063599754037,0.0,0.003778157969774736
ASEAN,8,10,34.0,4,12.0,6,22.0,0.4,0.35294117647058826,6,15,113,0.00011633875106929,0.6545454545454545,0.4727272727272727,0.6274509803921569,0.0003041668182638402,0.0,0.004027658967778729
Balikant,7,21,76.0,19,70.0,2,6.0,0.9047619047619048,0.9210526315789473,13,28,132,0.0002600513259195894,0.7272727272727273,0.6363636363636364,0.7763157894736842,0.0011801236511554403,0.0,0.004704875962360992
airdefense,1,4,16.0,1,4.0,3,12.0,0.25,0.25,4,10,104,5.474764756201882e-5,1.0,0.6,1.0,0.0,9.03483077016598e-5,0.0037068719703450244
Philippines,2,45,3796.0,9,2134.0,36,1662.0,0.2,0.5621707060063225,13,57,137,0.012988879384088966,0.27053140096618356,0.22705314009661837,0.23403822205192068,0.0139865200205746,0.0,0.004883090960935272
PhilippineArmy,1,9,52.0,3,30.0,6,22.0,0.3333333333333333,0.5769230769230769,9,23,123,0.00017792985457656116,1.0,0.8,1.0,0.0011711777319168837,0.0,0.004384088964927289
USA,1,22,202.0,8,72.0,14,130.0,0.36363636363636365,0.3564356435643564,12,36,126,0.0006911890504704876,0.6126482213438735,0.525691699604743,0.6746817538896747,0.0008345717291399768,0.0,0.004491017964071856
