triad,AUMC_density,peak_tau,peak_density
003,1.7142386189368337,182.96528550114863,0.9946978743730595
012,0.0,3.141693878805229,0.0
102,0.047774348950080966,3.141693878805229,0.07866909481729162
021D,0.0,3.141693878805229,0.0
021U,0.0,3.141693878805229,0.0
021C,0.0,3.141693878805229,0.0
111D,0.0,3.141693878805229,0.0
111U,0.0,3.141693878805229,0.0
030T,0.0,3.141693878805229,0.0
030C,0.0,3.141693878805229,0.0
201,0.0024846625169726495,3.141693878805229,0.006130582756149988
120D,0.0,3.141693878805229,0.0
120U,0.0,3.141693878805229,0.0
120C,0.0,3.141693878805229,0.0
210,0.0,3.141693878805229,0.0
300,0.0007072014095007939,3.141693878805229,0.0016867685693814187
