measure,network_1_values,network_2_values,type,weight_1,weight_2,weight
num_nodes,7.898782494756193,6.841616617903061,Component Measure,1.0,1.0,1.0
num_edges,8.174702961818788,7.584773335808278,Component Measure,1.0,1.0,1.0
largest_wcc_proportion,0.49072,0.967949,Component Measure,1.0,1.0,1.0
second_largest_wcc_proportion,0.017817,0.002137,Component Measure,1.0,1.0,1.0
min_wcc_size_proportion,0.000742,0.002137,Component Measure,1.0,1.0,1.0
largest_scc_proportion,0.005197,0.012821,Component Measure,1.0,1.0,1.0
second_largest_scc_proportion,0.00297,0.010684,Component Measure,1.0,1.0,1.0
num_isolates_proportion,0.97293,0.9375,Component Measure,1.0,1.0,1.0
num_dyads_proportion,0.011146,0.0,Component Measure,1.0,1.0,1.0
num_triads_proportion,0.004777,0.0,Component Measure,1.0,1.0,1.0
num_groups_proportion,0.011146,0.0625,Component Measure,1.0,1.0,1.0
bow_tie_scc_fraction,0.005196733481811433,0.01282051282051282,Component Measure,1.0,1.0,1.0
bow_tie_in_fraction,0.016332590942835932,0.019230769230769232,Component Measure,1.0,1.0,1.0
bow_tie_out_fraction,0.18188567186340016,0.358974358974359,Component Measure,1.0,1.0,1.0
all_link_mean,1.0,0.9219396001553873,Link Measure,1.0,1.0,1.0
all_link_std,1.0,0.39646664711881924,Link Measure,1.0,1.0,1.0
non_self_proportion,0.9870422535211267,0.9979674796747967,Link Measure,1.0,1.0,1.0
non_self_mean,1.0,0.9201866864907426,Link Measure,1.0,1.0,1.0
non_self_std,1.0,0.39224445734634583,Link Measure,1.0,1.0,1.0
self_loops_proportion,0.012957746478873239,0.0020325203252032522,Link Measure,1.0,1.0,1.0
self_loops_mean,0.6304347826086957,1.0,Link Measure,1.0,1.0,1.0
self_loops_std,0.5289358721998452,1.0,Link Measure,1.0,1.0,1.0
degree assortativity,-0.032389,0.064861,Global Network Measure,1.0,1.0,1.0
transitivity,0.303037,0.272022,Global Network Measure,1.0,1.0,1.0
local clustering coefficient,0.270217,0.439424,Global Network Measure,1.0,1.0,1.0
reciprocity,0.013823,0.021776,Global Network Measure,1.0,1.0,1.0
density,0.000966,0.004493,Global Network Measure,1.0,1.0,1.0
resolution,0.554167,0.5,Global Network Measure,1.0,1.0,1.0
modularity,0.683229,0.685986,Global Network Measure,1.0,1.0,1.0
003_AUMC_density,0.7947196951393551,0.47509643567308507,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
012_AUMC_density,0.001776781760895358,0.0017781024587463375,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
102_AUMC_density,1.2205464186516963e-5,2.5572256621156794e-5,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021D_AUMC_density,5.427726858222856e-5,0.000210908242940371,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021U_AUMC_density,3.322197352543079e-6,1.1377233326466362e-6,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021C_AUMC_density,5.78977147309138e-6,5.113766979369619e-6,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111D_AUMC_density,9.362069834058596e-8,1.6766449112687272e-7,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111U_AUMC_density,3.383719525738322e-7,2.367833221628487e-6,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030T_AUMC_density,1.664442272640846e-6,9.272872876608674e-7,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030C_AUMC_density,5.349754190890625e-9,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
201_AUMC_density,0.0,1.710862154355844e-8,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120D_AUMC_density,2.674877095445313e-8,6.672362401987791e-8,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120U_AUMC_density,1.2036946929503906e-7,4.003417441192674e-7,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120C_AUMC_density,8.024631286335938e-9,1.1976035080490906e-8,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
210_AUMC_density,4.012315643167969e-9,2.224120800662597e-8,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
300_AUMC_density,6.687192738613282e-10,3.4217243087116873e-9,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
003_peak_tau,6.259999999999991,2.080083823051904,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
012_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
102_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021D_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021U_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021C_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111D_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111U_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030T_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030C_peak_tau,2.259607653084159,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
201_peak_tau,1.0,1.129830963909753,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120D_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120U_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120C_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
210_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
300_peak_tau,1.0,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
003_peak_density,0.9998007931403814,0.9995068160207533,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
012_peak_density,0.01689101300987164,0.01838186601041334,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
102_peak_density,0.0001446112149397136,0.00020705852708064775,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021D_peak_density,0.0010093167701863354,0.004675856588475824,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021U_peak_density,3.596391761301132e-5,1.574884058842832e-5,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021C_peak_density,6.777234054384696e-5,0.00011017733969035714,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111D_peak_density,1.1182058417490914e-6,1.8072440019507908e-6,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111U_peak_density,6.830122168521478e-6,6.777165007315466e-5,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030T_peak_density,2.5008522541820898e-5,2.594686031372207e-5,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030C_peak_density,3.02217795067322e-8,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
201_peak_density,0.0,6.454442864109967e-8,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120D_peak_density,5.137702516144475e-7,7.745331436931961e-7,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120U_peak_density,2.6292948170857016e-6,1.2908885728219934e-5,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120C_peak_density,9.066533852019661e-8,4.518110004876977e-7,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
210_peak_density,9.066533852019661e-8,8.390775723342957e-7,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
300_peak_density,1.51108897533661e-8,1.2908885728219933e-7,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
k_core_in_0,0.5,0.123348,K-Core Decomposition,0.06666666666666667,0.07692307692307693,1.0
k_core_in_1,0.452446,0.495595,K-Core Decomposition,0.06666666666666667,0.07692307692307693,1.0
k_core_in_2,0.047554,0.381057,K-Core Decomposition,0.06666666666666667,0.07692307692307693,1.0
k_core_out_0,0.930707,0.96696,K-Core Decomposition,0.06666666666666667,0.07692307692307693,1.0
k_core_out_1,0.050272,0.006608,K-Core Decomposition,0.06666666666666667,0.07692307692307693,1.0
k_core_out_2,0.019022,0.026432,K-Core Decomposition,0.06666666666666667,0.07692307692307693,1.0
k_core_undirected_1,0.46875,0.281938,K-Core Decomposition,0.06666666666666667,0.07692307692307693,1.0
k_core_undirected_2,0.217391,0.356828,K-Core Decomposition,0.06666666666666667,0.07692307692307693,1.0
