type,distance_sq,n_measures,distance,normalized_contribution,type_similarity
Component Measure,1.7291961086780283,14,1.3149890146605896,0.2197028432143066,0.4319674925743067
Link Measure,1.1048014822420857,8,1.0510953725719117,0.1403704447504987,0.48754436940008256
Global Network Measure,0.30130224352199997,7,0.5489100504836835,0.03828192721254758,0.6456152826225943
Triad Census,0.0438585725425338,48,0.20942438382990125,0.005572446663832833,0.826839621699445
K-Core Decomposition,0.34906972223200006,16,0.5908212269646378,0.044351019568873225,0.628606145712581
S-Core Decomposition,0.37457369054100015,134,0.6120242564972406,0.047591423779023,0.6203380600319842
Community Structure,0.024943740013999988,23,0.15793587310677706,0.0031692244586786,0.863605682512426
Degree Measures,0.9565132036316462,8,0.9780149301680655,0.12152969195064664,0.5055573568977223
Local Reach,1.0899435046763721,3,1.044003594187478,0.13848266585762503,0.48923593032991464
Local Structure,0.5508526207226092,9,0.7421944628752017,0.06998852608876859,0.5739887373707219
Influence,1.3455583603458174,5,1.1599820517343435,0.17095978645519888,0.462966809931155
