node,community,in_degree,out_degree,total_degree,in_degree_in_group,out_degree_in_group,total_degree_in_group,in_degree_between,out_degree_between,total_degree_between,weighted_in_degree,weighted_out_degree,weighted_total_degree,weighted_in_degree_in_group,weighted_out_degree_in_group,weighted_total_degree_in_group,weighted_in_degree_between,weighted_out_degree_between,weighted_total_degree_between,in_group_indegree_ratio,in_group_outdegree_ratio,in_group_indegree_strength_fraction,in_group_outdegree_strength_fraction,k_core_in,k_core_out,k_core_undirected,s_core_in,s_core_out,s_core_undirected,in_reach_2,out_reach_2,undirected_reach_2,out_degree_normalized,in_degree_normalized,in_out_ratio,weighted_in_out_ratio,ego_density,density_clustering_coefficient,cg_cycle,cg_middleman,cg_in,cg_out,cg_total,barrat_local,r_norm_ranked,page_rank,salsa_hub,salsa_authority,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized,in_reach_2_normalized,out_reach_2_normalized
8775672,4,0,37,37,0,30,30,0,7,7,0.0,48.0,48.0,0.0,40.0,40.0,0.0,8.0,8.0,0.0,0.8108108108108109,0.0,0.8333333333333334,0,2,9,0.0,30.0,32.0,1,107,131,0.0016981532583315645,0.0,0.0,0.0,0.06614509246088193,0.04090577063550037,0.0,0.0,0.0,0.04774305555555555,0.04774305555555555,0.08854166666666667,0.0,0.0012464437021285006,0.012820512820512817,0.0,0.00121515758007118,0.0,7.225345851382909e-5,0.0007429420505200594,0.07949479940564635
827343025470738433,3,2,7,9,2,6,8,0,1,1,12.0,11.0,23.0,12.0,10.0,22.0,0.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.9090909090909091,0,1,6,19.0,13.0,31.0,4,152,243,0.00038916012170098354,0.0004245383145828911,0.2857142857102041,1.0909090908991737,0.2222222222222222,0.13580246913580246,0.0,0.7358490566037735,0.0,0.13636363636363635,0.2608695652173913,0.5217391304347826,0.0,0.00144189949868087,0.01282051282051282,0.0014347202295552342,0.0,0.00025024803783191274,0.00013402740777756085,0.0029717682020802376,0.11292719167904904
19611483,2,0,26,26,0,21,21,0,5,5,0.0,30.0,30.0,0.0,25.0,25.0,0.0,5.0,5.0,0.0,0.8076923076923077,0.0,0.8333333333333334,0,1,6,0.0,21.0,19.0,1,177,203,0.0010613457864572277,0.0,0.0,0.0,0.04700854700854701,0.010355029585798817,0.0,0.0,0.0,0.006666666666666667,0.006666666666666667,0.013333333333333334,0.0,0.0012464437021285006,0.012820512820512822,0.0,0.0033018430120380637,0.0,0.00011196528304051379,0.0007429420505200594,0.13150074294205052
28468549,17,8,55,62,6,44,49,2,11,13,17.0,63.0,79.0,14.0,51.0,64.0,3.0,12.0,15.0,0.75,0.8,0.8235294117647058,0.8095238095238095,1,1,9,18.0,34.0,40.0,15,117,408,0.0021934479586782707,0.0005660510861105215,0.145454545454281,0.2698412698408415,0.08060109289617487,0.06472222222222222,0.0,0.6061776061776062,0.2604166666666667,0.01658551430310408,0.10091939277314518,0.19056931768796176,0.2,0.0014729665057588103,0.012820512820512822,0.0014347202295552372,0.0,0.0013536944622348779,0.00022503367231787992,0.011144130757800892,0.08692421991084695
24112747,4,17,70,86,8,56,63,9,14,23,57.0,87.0,141.0,12.0,72.0,81.0,45.0,15.0,60.0,0.47058823529411764,0.8,0.21052631578947367,0.8275862068965517,2,2,9,35.0,35.0,46.0,27,101,506,0.0029717682020802376,0.00191042241562301,0.2428571428567959,0.6551724137923504,0.05480458419042022,0.042682926829268296,0.007514336563179751,0.24955507217718015,0.1117283950617284,0.010416666666666666,0.06909059504274981,0.13347647164072285,0.4666666666666667,0.002249744968029701,0.012820512820512817,0.0014347202295552353,0.0,0.012062261539326768,0.0002790858779236452,0.020059435364041606,0.075037147102526
115684356,2,0,23,23,0,21,21,0,2,2,0.0,27.0,27.0,0.0,25.0,25.0,0.0,2.0,2.0,0.0,0.9130434782608695,0.0,0.9259259259259259,0,1,4,0.0,19.0,14.0,1,26,48,0.000955211207811505,0.0,0.0,0.0,0.043478260869565216,0.001890359168241966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012464437021285006,0.012820512820512818,0.0,0.004233792782315393,0.0,2.647454968445646e-5,0.0007429420505200594,0.019316493313521546
81155662,2,12,3,14,7,2,8,5,1,6,25.0,3.0,27.0,14.0,2.0,15.0,11.0,1.0,12.0,0.5833333333333334,0.6666666666666666,0.56,0.6666666666666666,1,1,6,33.0,5.0,28.0,15,3,320,7.075638576381519e-5,0.0008490766291657822,3.9999999998666667,8.333333333055556,0.1987179487179487,0.11805555555555555,0.0,0.5147058823529411,0.0625,0.5,0.10806451612903226,0.1993006993006993,0.8666666666666667,0.004915221632822595,0.01282051282051283,0.0014347202295552364,0.0,0.0003686355200031022,0.0001764969978963764,0.011144130757800892,0.002228826151560178
10126672,3,1,120,121,1,84,85,0,36,36,5.0,205.0,210.0,5.0,148.0,153.0,0.0,57.0,57.0,1.0,0.7,1.0,0.7219512195121951,0,2,9,18.0,41.0,44.0,2,307,340,0.007252529540791057,0.00017689096440953796,0.008333333333326389,0.02439024390242713,0.01944181005283837,0.011338023359060173,0.0,0.39627329192546584,0.0,0.026685796269727405,0.032162698412698414,0.06432539682539683,0.0,0.0013035421290990962,0.012820512820512801,0.0014347202295552377,0.0,0.014590618303316316,0.00018752806026489993,0.0014858841010401188,0.22808320950965824
1017578055072604160,17,2,97,98,2,77,78,0,20,20,3.0,118.0,119.0,3.0,96.0,97.0,0.0,22.0,22.0,1.0,0.7938144329896907,1.0,0.8135593220338984,1,2,9,7.0,38.0,36.0,4,246,267,0.004103870374301281,3.5378192881907595e-5,0.02061855670100967,0.025423728813537775,0.023303264604810997,0.012912326388888888,0.03333333333333333,0.5190476190476191,0.0,0.01660617059891107,0.021460373998219057,0.03670715249662618,0.13333333333333333,0.0012602200234681524,0.012820512820512825,0.0014347202295552379,0.0,0.001837581808914135,0.00014726468261978907,0.0029717682020802376,0.1827637444279346
54885400,17,3,85,88,3,73,76,0,12,12,10.0,100.0,110.0,10.0,86.0,96.0,0.0,14.0,14.0,1.0,0.8588235294117647,1.0,0.86,1,2,9,10.0,36.0,38.0,4,194,221,0.0035378192881907592,0.0003537819288190759,0.0352941176470173,0.0999999999999,0.036754878374766105,0.025283937263385615,0.009657594381035996,0.5021949078138718,0.275,0.029464285714285714,0.056962025316455694,0.10149732620320856,0.26666666666666666,0.001379511401054059,0.012820512820512815,0.0014347202295552379,0.0011715665307222567,0.0,0.00012189323917218495,0.0029717682020802376,0.14413075780089152
25930421,17,2,111,113,2,81,83,0,30,30,5.0,154.0,159.0,5.0,111.0,116.0,0.0,43.0,43.0,1.0,0.7297297297297297,1.0,0.7207792207792207,1,2,9,9.0,40.0,39.0,4,207,269,0.005448241703813769,0.00017689096440953796,0.018018018018001784,0.032467532467511384,0.023309102402022757,0.014508928571428572,0.01405152224824356,0.3231850117096019,1.0,0.02706611570247934,0.03413113096241362,0.06328970479913876,0.06666666666666667,0.0013036166876879785,0.01282051282051281,0.0014347202295552379,0.0,0.009210300292448292,0.0001483677888566414,0.0029717682020802376,0.1537890044576523
18749026,9,4,154,157,3,94,96,1,60,61,4.0,208.0,211.0,3.0,110.0,112.0,1.0,98.0,99.0,0.75,0.6103896103896104,0.75,0.5288461538461539,0,1,9,14.0,42.0,43.0,4,209,272,0.007323285926554872,0.00010613457864572278,0.02597402597400911,0.019230769230759986,0.00824759105013882,0.0018491124260355029,0.0,0.06666666666666667,0.0,0.004608441393338419,0.005560675883256529,0.011121351766513058,0.0,0.0014443263531373645,0.0128205128205128,0.0014347202295552364,0.0,0.025774152879217582,0.00015002244821191995,0.0029717682020802376,0.15527488855869243
92611744,4,6,17,23,6,12,18,0,5,5,29.0,23.0,52.0,29.0,15.0,44.0,0.0,8.0,8.0,1.0,0.7058823529411765,1.0,0.6521739130434783,2,2,9,36.0,18.0,36.0,18,214,252,0.0008136984362838747,0.0010259675935753202,0.35294117646851214,1.2608695652119093,0.14624505928853754,0.10537190082644628,0.04983922829581994,0.3054662379421222,0.33793103448275863,0.08152173913043478,0.1669603524229075,0.2847985347985348,0.7333333333333333,0.0021296515368883677,0.012820512820512825,0.001434720229555237,0.001959366968784182,0.0,0.00013899138584339642,0.01337295690936107,0.1589895988112927
4068016160,4,0,29,29,0,26,26,0,3,3,0.0,36.0,36.0,0.0,33.0,33.0,0.0,3.0,3.0,0.0,0.896551724137931,0.0,0.9166666666666666,0,2,6,0.0,27.0,21.0,1,90,113,0.0012736149437486733,0.0,0.0,0.0,0.06091954022988506,0.028537455410225922,0.0,0.0,0.0,0.03125,0.03125,0.05853174603174603,0.0,0.0012464437021285006,0.012820512820512827,0.0,0.0018763777981408714,0.0,6.232550238215791e-5,0.0007429420505200594,0.06686478454680535
78489442,9,6,3,9,5,3,8,1,0,1,12.0,3.0,15.0,11.0,3.0,14.0,1.0,0.0,1.0,0.8333333333333334,1.0,0.9166666666666666,1.0,1,0,4,29.0,6.0,14.0,16,4,273,0.00010613457864572278,0.0004245383145828911,1.9999999999333333,3.9999999998666667,0.16666666666666666,0.07407407407407407,0.0,0.1111111111111111,0.16666666666666666,0.0,0.10833333333333334,0.21666666666666667,0.0,0.003276878202379819,0.012820512820512825,0.0014347202295552355,0.0013162938461019902,0.0,0.00015057400133034612,0.01188707280832095,0.0029717682020802376
2216405453,3,7,147,154,6,91,97,1,56,57,46.0,208.0,254.0,43.0,120.0,163.0,3.0,88.0,91.0,0.8571428571428571,0.6190476190476191,0.9347826086956522,0.5769230769230769,1,1,9,34.0,43.0,45.0,15,236,342,0.007358664119436779,0.0016273968725677493,0.04761904761901523,0.22115384615373984,0.014956011730205278,0.008559622195985833,0.002311998053054271,0.20990508639571673,0.14492753623188406,0.006174262381454162,0.0282924193299367,0.05609592918532242,0.0,0.002838286966942685,0.012820512820512803,0.0014347202295552355,0.0,0.021998441067789254,0.00018863116650175228,0.011144130757800892,0.17533432392273401
102722975,17,5,41,45,5,40,44,0,1,1,5.0,43.0,47.0,5.0,42.0,46.0,0.0,1.0,1.0,1.0,0.975609756097561,1.0,0.9767441860465116,1,1,8,12.0,32.0,26.0,9,55,172,0.0014858841010401188,0.00014151277152763038,0.12195121951189768,0.11627906976717144,0.10940803382663848,0.08761492698756085,0.0,1.0,0.4166666666666667,0.036019536019536016,0.11468354430379747,0.2111801242236025,0.4,0.0013220354979261244,0.012820512820512827,0.0014347202295552379,0.0030666570869365417,0.0,9.486713636930232e-5,0.006686478454680535,0.04086181277860327
111344559,5,0,2,2,0,2,2,0,0,0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,0.0,3.0,2.0,1,3,3,7.075638576381519e-5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010350035156505603,0.01282051282051282,0.0,0.00042744680008155456,0.0,1.6546593552785288e-6,0.0007429420505200594,0.002228826151560178
83795099,2,0,24,24,0,21,21,0,3,3,0.0,29.0,29.0,0.0,26.0,26.0,0.0,3.0,3.0,0.0,0.875,0.0,0.896551724137931,0,1,4,0.0,20.0,18.0,1,26,48,0.0010259675935753202,0.0,0.0,0.0,0.043333333333333335,0.003472222222222222,0.0,0.0,0.0,0.0037481259370314842,0.0037481259370314842,0.0074962518740629685,0.0,0.0012464437021285006,0.012820512820512818,0.0,0.004633415309079014,0.0,2.647454968445646e-5,0.0007429420505200594,0.019316493313521546
809841734058393600,6,0,4,4,0,4,4,0,0,0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,0.0,7.0,4.0,1,5,5,0.00017689096440953796,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001139724593835441,0.01282051282051282,0.0,0.0010685246510042656,0.0,2.757765592130881e-6,0.0007429420505200594,0.003714710252600297
2744294556,3,2,35,37,2,20,22,0,15,15,2.0,41.0,43.0,2.0,23.0,25.0,0.0,18.0,18.0,1.0,0.5714285714285714,1.0,0.5609756097560976,0,2,9,4.0,29.0,32.0,4,212,302,0.0014505059081582113,7.075638576381519e-5,0.057142857142693876,0.04878048780475907,0.07823613086770982,0.053323593864134405,0.0,0.3684210526315789,0.0,0.06384505021520803,0.0755813953488372,0.14857881136950904,0.0,0.0012839124245930596,0.012820512820512824,0.0014347202295552353,0.0,0.0054775605434520536,0.00016656904176470523,0.0029717682020802376,0.1575037147102526
1511704288401059840,7,7,5,11,7,5,11,0,0,0,79.0,5.0,83.0,79.0,5.0,83.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,5,38.0,7.0,51.0,8,8,12,0.00014151277152763038,0.0027594990447887924,1.399999999972,15.799999999684,0.2916666666666667,0.15625,0.07894736842105263,0.23026315789473684,0.24871794871794872,0.08333333333333333,0.20538243626062322,0.34843205574912894,0.8666666666666667,0.004523445900468091,0.01282051282051282,0.0014347202295552364,0.015490714811675188,0.0,6.618637421114115e-6,0.005943536404160475,0.005943536404160475
