node,community,in_degree,out_degree,total_degree,in_degree_in_group,out_degree_in_group,total_degree_in_group,in_degree_between,out_degree_between,total_degree_between,weighted_in_degree,weighted_out_degree,weighted_total_degree,weighted_in_degree_in_group,weighted_out_degree_in_group,weighted_total_degree_in_group,weighted_in_degree_between,weighted_out_degree_between,weighted_total_degree_between,in_group_indegree_ratio,in_group_outdegree_ratio,in_group_indegree_strength_fraction,in_group_outdegree_strength_fraction,k_core_in,k_core_out,k_core_undirected,s_core_in,s_core_out,s_core_undirected,in_reach_2,out_reach_2,undirected_reach_2,out_degree_normalized,in_degree_normalized,in_out_ratio,weighted_in_out_ratio,ego_density,density_clustering_coefficient,cg_cycle,cg_middleman,cg_in,cg_out,cg_total,barrat_local,r_norm_ranked,page_rank,salsa_hub,salsa_authority,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized,in_reach_2_normalized,out_reach_2_normalized
0,3,0,278,278,0,231,231,0,47,47,0.0,387.0,387.0,0.0,327.0,327.0,0.0,60.0,60.0,0.0,0.8309352517985612,0.0,0.8449612403100775,0,2,5,0.0,17.0,19.0,1,410,414,0.1657387580299786,0.0,0.0,0.0,0.0066656352337484855,0.0030924900367475805,0.0,0.0,0.0,0.003526152296196793,0.003526152296196793,0.0067258090094124015,0.0,0.0020978171196869497,0.05555555555555575,0.0,0.0,0.06266552516667567,0.0018942513589194532,0.0021413276231263384,0.8779443254817987
16851560610110651,1,1,53,54,1,53,54,0,0,0,1.0,63.0,64.0,1.0,63.0,64.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,2,6,1.0,11.0,15.0,5,174,182,0.026980728051391862,0.00042826552462526765,0.018867924528266286,0.015873015872990677,0.04682040531097135,0.02847988608045568,0.06140350877192982,0.6403508771929824,0.0,0.03311965811965812,0.04380530973451328,0.06911057692307693,0.3,0.0021327852316169343,0.05555555555555549,0.0022371364653243834,0.012428191813219636,0.0,0.0008327385201046872,0.010706638115631691,0.37259100642398285
3577105742580564507,1,5,58,63,5,58,63,0,0,0,7.0,63.0,70.0,7.0,63.0,70.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2,2,6,13.0,12.0,14.0,12,113,191,0.026980728051391862,0.0029978586723768737,0.0862068965515755,0.11111111111093475,0.03917050691244239,0.023413111342351717,0.02092050209205021,0.2691771269177127,0.5357142857142857,0.011974380395433026,0.03736162361623616,0.06276346604215456,0.4,0.0024472632070743783,0.05555555555555548,0.002237136465324383,0.013799517481151824,0.0,0.0008739178974725014,0.02569593147751606,0.24197002141327623
6331486836036895988,1,0,12,12,0,12,12,0,0,0,0.0,12.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,3,0.0,7.0,4.0,1,13,19,0.005139186295503212,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020978171196869497,0.05555555555555553,0.0,0.002048189540332368,0.0,8.693424110982997e-5,0.0021413276231263384,0.027837259100642397
4391701289550400083,1,0,32,32,0,31,31,0,1,1,0.0,36.0,36.0,0.0,35.0,35.0,0.0,1.0,1.0,0.0,0.96875,0.0,0.9722222222222222,0,2,5,0.0,9.0,9.0,1,157,164,0.015417558886509636,0.0,0.0,0.0,0.05303030303030303,0.0234375,0.0,0.0,0.0,0.02867383512544803,0.02867383512544803,0.05197132616487455,0.0,0.0020978171196869497,0.055555555555555566,0.0,0.005809752985898142,0.0,0.0007503797653690587,0.0021413276231263384,0.3361884368308351
7907653196361365248,1,5,50,55,4,50,54,1,0,1,16.0,61.0,77.0,11.0,61.0,72.0,5.0,0.0,5.0,0.8,1.0,0.6875,1.0,2,2,6,17.0,10.0,20.0,12,140,421,0.026124197002141327,0.006852248394004282,0.0999999999998,0.26229508196678314,0.046464646464646465,0.028463648834019206,0.02187784867821331,0.2543299908842297,0.4140625,0.017898962863834057,0.05578313253012048,0.09507473658417055,0.7,0.002679775118210498,0.0555555555555555,0.0022371364653243847,0.010270656017816848,0.0,0.0019262797635388642,0.02569593147751606,0.29978586723768735
1099183719775572333,1,4,60,64,3,60,63,1,0,1,4.0,72.0,76.0,3.0,72.0,75.0,1.0,0.0,1.0,0.75,1.0,0.75,1.0,2,2,6,6.0,13.0,16.0,12,174,413,0.030835117773019272,0.0017130620985010706,0.06666666666655556,0.05555555555547839,0.048122686409307246,0.03171190540177372,0.036468330134357005,0.3666026871401152,0.5,0.026129943502824857,0.04643380046015478,0.07478070175438596,0.5,0.002520414416946173,0.0555555555555555,0.0022371364653243843,0.014175102081688595,0.0,0.0018896758725452515,0.02569593147751606,0.37259100642398285
422174908067001742,1,12,77,88,9,76,84,3,1,4,22.0,104.0,123.0,15.0,103.0,115.0,7.0,1.0,8.0,0.75,0.987012987012987,0.6818181818181818,0.9903846153846154,2,2,6,18.0,14.0,21.0,15,166,448,0.043254817987152035,0.008137044967880086,0.15584415584395345,0.21153846153825814,0.027395295467584624,0.014951371752068515,0.011815675462780622,0.14887751083103584,0.22105263157894736,0.013927392739273927,0.03411296583850932,0.05508130081300813,0.8,0.0060845708288930515,0.05555555555555546,0.0022371364653243843,0.018897854742909392,0.0,0.0020498178956423066,0.032119914346895075,0.3554603854389722
7409110796171492211,2,1,1,1,1,1,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,1.0,1.0,3.0,1,1,1,0.0,0.0,0.9999999999,0.9999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022026431718061693,0.0,0.0,0.00048020511689772505,0.0,4.575486374201577e-6,0.0021413276231263384,0.0021413276231263384
7524153963603998917,3,3,21,24,3,20,23,0,1,1,5.0,22.0,27.0,5.0,21.0,26.0,0.0,1.0,1.0,1.0,0.9523809523809523,1.0,0.9545454545454546,2,2,4,9.0,8.0,13.0,6,259,369,0.009421841541755889,0.0021413276231263384,0.1428571428564626,0.22727272727169423,0.1358695652173913,0.09640831758034027,0.05917159763313609,0.7751479289940828,0.4,0.045454545454545456,0.15266558966074315,0.25757575757575757,0.6,0.0021563995604723884,0.05555555555555562,0.0022371364653243856,0.0,0.0016184109764315613,0.0016883544720803821,0.01284796573875803,0.5546038543897216
