triad,AUMC_density,peak_tau,peak_density
003,0.47509643567308507,2.080083823051904,0.9995068160207533
012,0.0017781024587463375,1.0,0.01838186601041334
102,2.5572256621156794e-5,1.0,0.00020705852708064775
021D,0.000210908242940371,1.0,0.004675856588475824
021U,1.1377233326466362e-6,1.0,1.574884058842832e-5
021C,5.113766979369619e-6,1.0,0.00011017733969035714
111D,1.6766449112687272e-7,1.0,1.8072440019507908e-6
111U,2.367833221628487e-6,1.0,6.777165007315466e-5
030T,9.272872876608674e-7,1.0,2.594686031372207e-5
030C,0.0,1.0,0.0
201,1.710862154355844e-8,1.129830963909753,6.454442864109967e-8
120D,6.672362401987791e-8,1.0,7.745331436931961e-7
120U,4.003417441192674e-7,1.0,1.2908885728219934e-5
120C,1.1976035080490906e-8,1.0,4.518110004876977e-7
210,2.224120800662597e-8,1.0,8.390775723342957e-7
300,3.4217243087116873e-9,1.0,1.2908885728219933e-7
