measure,network_1_values,network_2_values,type,weight_1,weight_2,weight
num_nodes,7.898782494756193,6.841616617903061,Component Measure,1.0,1.0,1.0
num_edges,7.99362010880805,6.887553612895811,Component Measure,1.0,1.0,1.0
largest_wcc_proportion,0.76095,0.549145,Component Measure,1.0,1.0,1.0
second_largest_wcc_proportion,0.038604,0.002137,Component Measure,1.0,1.0,1.0
min_wcc_size_proportion,0.000742,0.002137,Component Measure,1.0,1.0,1.0
largest_scc_proportion,0.001485,0.002137,Component Measure,1.0,1.0,1.0
second_largest_scc_proportion,0.000742,0.002137,Component Measure,1.0,1.0,1.0
num_isolates_proportion,0.845771,0.995283,Component Measure,1.0,1.0,1.0
num_dyads_proportion,0.064677,0.0,Component Measure,1.0,1.0,1.0
num_triads_proportion,0.029851,0.0,Component Measure,1.0,1.0,1.0
num_groups_proportion,0.059701,0.004717,Component Measure,1.0,1.0,1.0
bow_tie_scc_fraction,0.0014847809948032665,0.002136752136752137,Component Measure,1.0,1.0,1.0
bow_tie_in_fraction,0.0,0.0,Component Measure,1.0,1.0,1.0
bow_tie_out_fraction,0.017074981440237565,0.0,Component Measure,1.0,1.0,1.0
all_link_mean,0.3739969633777387,1.0,Link Measure,1.0,1.0,1.0
all_link_std,0.6296151380565597,1.0,Link Measure,1.0,1.0,1.0
non_self_proportion,0.9986495611073599,0.9979591836734694,Link Measure,1.0,1.0,1.0
non_self_mean,0.37357947696720367,1.0,Link Measure,1.0,1.0,1.0
non_self_std,0.6303665001392318,1.0,Link Measure,1.0,1.0,1.0
self_loops_proportion,0.0013504388926401081,0.0020408163265306124,Link Measure,1.0,1.0,1.0
self_loops_mean,1.0,1.0,Link Measure,1.0,1.0,1.0
self_loops_std,0.0,0.0,Link Measure,1.0,1.0,1.0
degree assortativity,0.169388,-0.130989,Global Network Measure,1.0,1.0,1.0
transitivity,0.121447,0.0,Global Network Measure,1.0,1.0,1.0
local clustering coefficient,0.094716,0.0,Global Network Measure,1.0,1.0,1.0
reciprocity,0.001957,0.0,Global Network Measure,1.0,1.0,1.0
density,0.000816,0.002237,Global Network Measure,1.0,1.0,1.0
resolution,0.933333,0.879167,Global Network Measure,1.0,1.0,1.0
modularity,0.628971,0.144795,Global Network Measure,1.0,1.0,1.0
003_AUMC_density,0.1638944338786477,0.8901803681938816,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
012_AUMC_density,0.000159894398482043,0.003783724781226537,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
102_AUMC_density,7.057414577618219e-7,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021D_AUMC_density,4.621040910293706e-6,0.009103806110286099,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021U_AUMC_density,4.817347834551686e-8,2.20879065493606e-5,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021C_AUMC_density,1.37896581764042e-7,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111D_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111U_AUMC_density,2.4086739172758434e-9,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030T_AUMC_density,1.2043369586379215e-8,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030C_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
201_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120D_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120U_AUMC_density,6.021684793189609e-10,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120C_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
210_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
300_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
003_peak_tau,1.207897070815434,7.999999999999999,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
012_peak_tau,1.207897070815434,5.039684199579493,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
102_peak_tau,1.207897070815434,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021D_peak_tau,1.207897070815434,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021U_peak_tau,1.207897070815434,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021C_peak_tau,1.207897070815434,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111D_peak_tau,1.207897070815434,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111U_peak_tau,1.207897070815434,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030T_peak_tau,1.207897070815434,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030C_peak_tau,1.207897070815434,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
201_peak_tau,1.207897070815434,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120D_peak_tau,1.207897070815434,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120U_peak_tau,1.207897070815434,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120C_peak_tau,1.207897070815434,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
210_peak_tau,1.207897070815434,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
300_peak_tau,1.207897070815434,1.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
003_peak_density,0.9989916954155019,0.9981599765392538,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
012_peak_density,0.000974610134382533,0.005859106775005722,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
102_peak_density,4.301731539806383e-6,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021D_peak_density,2.816679849528514e-5,0.021157587548638133,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021U_peak_density,2.9363355220521383e-7,8.404383154039826e-5,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021C_peak_density,8.405260431874246e-7,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111D_peak_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111U_peak_density,1.4681677610260693e-8,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030T_peak_density,7.340838805130346e-8,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030C_peak_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
201_peak_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120D_peak_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120U_peak_density,3.670419402565173e-9,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120C_peak_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
210_peak_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
300_peak_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
k_core_in_0,0.978796,1.0,K-Core Decomposition,0.1,0.25,1.0
k_core_in_1,0.021204,0.0,K-Core Decomposition,0.1,0.0,1.0
k_core_out_0,0.998304,1.0,K-Core Decomposition,0.1,0.25,1.0
k_core_out_1,0.001696,0.0,K-Core Decomposition,0.1,0.0,1.0
k_core_undirected_0,0.001696,0.0,K-Core Decomposition,0.1,0.0,1.0
k_core_undirected_1,0.820187,0.07393,K-Core Decomposition,0.1,0.25,1.0
k_core_undirected_2,0.099237,0.92607,K-Core Decomposition,0.1,0.25,1.0
k_core_undirected_3,0.038168,0.0,K-Core Decomposition,0.1,0.0,1.0
k_core_undirected_4,0.011874,0.0,K-Core Decomposition,0.1,0.0,1.0
k_core_undirected_5,0.028838,0.0,K-Core Decomposition,0.1,0.0,1.0
s_core_in_0.0,0.055131,0.007782,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_in_1.0,0.705683,0.003891,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_in_2.0,0.002545,0.003891,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_in_3.0,0.114504,0.011673,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_in_4.0,0.002545,0.015564,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_in_5.0,0.001696,0.038911,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_in_6.0,0.000848,0.105058,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_in_7.0,0.015267,0.182879,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_in_8.0,0.027142,0.22179,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_in_9.0,0.017812,0.178988,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_in_10.0,0.022901,0.124514,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_in_11.0,0.015267,0.085603,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_in_12.0,0.000848,0.015564,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_in_13.0,0.000848,0.003891,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_in_14.0,0.005937,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_in_15.0,0.002545,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_in_16.0,0.001696,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_in_17.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_in_18.0,0.002545,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_in_19.0,0.001696,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_in_20.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_in_21.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_0.0,0.93469,0.988327,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_out_1.0,0.017812,0.003891,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_out_2.0,0.012723,0.003891,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_out_3.0,0.000848,0.003891,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_out_4.0,0.004241,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_5.0,0.002545,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_6.0,0.001696,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_7.0,0.004241,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_8.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_9.0,0.003393,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_10.0,0.002545,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_11.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_12.0,0.001696,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_13.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_14.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_15.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_16.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_17.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_18.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_19.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_20.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_21.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_22.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_23.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_24.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_25.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_out_26.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_1.0,0.716709,0.011673,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_undirected_2.0,0.011026,0.023346,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_undirected_3.0,0.007634,0.038911,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_undirected_4.0,0.001696,0.105058,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_undirected_5.0,0.118745,0.182879,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_undirected_6.0,0.000848,0.22179,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_undirected_7.0,0.001696,0.178988,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_undirected_8.0,0.004241,0.124514,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_undirected_9.0,0.000848,0.085603,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_undirected_10.0,0.044105,0.015564,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_undirected_11.0,0.000848,0.003891,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_undirected_12.0,0.000848,0.007782,S-Core Decomposition,0.010638297872340425,0.03333333333333333,1.0
s_core_undirected_13.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_14.0,0.01866,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_15.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_16.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_17.0,0.013571,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_18.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_19.0,0.005089,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_20.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_21.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_22.0,0.007634,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_23.0,0.006785,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_24.0,0.005089,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_25.0,0.003393,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_26.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_27.0,0.004241,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_28.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_29.0,0.002545,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_30.0,0.001696,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_31.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_32.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_33.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_34.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_35.0,0.001696,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_36.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_37.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_38.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_39.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_40.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_41.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_42.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_43.0,0.001696,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_44.0,0.000848,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
s_core_undirected_45.0,0.001696,0.0,S-Core Decomposition,0.010638297872340425,0.0,1.0
Community_1,0.283291,0.587549,Community Structure,0.022727272727272728,0.3333333333333333,1.0
Community_2,0.110263,0.400778,Community Structure,0.022727272727272728,0.3333333333333333,1.0
Community_3,0.099237,0.011673,Community Structure,0.022727272727272728,0.3333333333333333,1.0
Community_4,0.095844,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_5,0.072095,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_6,0.054283,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_7,0.049194,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_8,0.044105,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_9,0.040712,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_10,0.031383,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_11,0.016115,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_12,0.011026,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_13,0.007634,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_14,0.007634,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_15,0.005937,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_16,0.005937,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_17,0.005089,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_18,0.004241,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_19,0.003393,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_20,0.003393,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_21,0.003393,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_22,0.003393,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_23,0.003393,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_24,0.002545,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_25,0.002545,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_26,0.002545,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_27,0.002545,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_28,0.002545,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_29,0.002545,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_30,0.001696,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_31,0.001696,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_32,0.001696,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_33,0.001696,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_34,0.001696,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_35,0.001696,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_36,0.001696,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_37,0.001696,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_38,0.001696,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_39,0.001696,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_40,0.001696,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_41,0.001696,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_42,0.001696,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_43,0.000848,0.0,Community Structure,0.022727272727272728,0.0,1.0
Community_44,0.000848,0.0,Community Structure,0.022727272727272728,0.0,1.0
jsd_raw_out_degree_normalized,0.020303511993466895,-0.020303511993466895,Degree Measures,1.0,1.0,1.0
jsd_raw_in_degree_normalized,0.40060083961520987,-0.40060083961520987,Degree Measures,1.0,1.0,1.0
jsd_raw_in_out_ratio,0.023962670681019392,-0.023962670681019392,Degree Measures,1.0,1.0,1.0
jsd_raw_weighted_in_out_ratio,0.025442607847859258,-0.025442607847859258,Degree Measures,1.0,1.0,1.0
jsd_raw_in_group_indegree_ratio,0.2642350955862775,-0.2642350955862775,Degree Measures,1.0,1.0,1.0
jsd_raw_in_group_outdegree_ratio,0.04085237231726724,-0.04085237231726724,Degree Measures,1.0,1.0,1.0
jsd_raw_in_group_indegree_strength_fraction,0.29810992317097457,-0.29810992317097457,Degree Measures,1.0,1.0,1.0
jsd_raw_in_group_outdegree_strength_fraction,0.03660974546248718,-0.03660974546248718,Degree Measures,1.0,1.0,1.0
jsd_raw_in_reach_2_normalized,0.41195609778557185,-0.41195609778557185,Local Reach,1.0,1.0,1.0
jsd_raw_out_reach_2_normalized,0.03599169960518385,-0.03599169960518385,Local Reach,1.0,1.0,1.0
jsd_raw_undirected_reach_2_normalized,0.4130115576521112,-0.4130115576521112,Local Reach,1.0,1.0,1.0
jsd_raw_ego_density,0.31350788345694225,-0.31350788345694225,Local Structure,1.0,1.0,1.0
jsd_raw_density_clustering_coefficient,0.06782212461961129,-0.06782212461961129,Local Structure,1.0,1.0,1.0
jsd_raw_cg_cycle,0.0,-0.0,Local Structure,1.0,1.0,1.0
jsd_raw_cg_middleman,0.019191678993071896,-0.019191678993071896,Local Structure,1.0,1.0,1.0
jsd_raw_cg_in,0.07518057792090385,-0.07518057792090385,Local Structure,1.0,1.0,1.0
jsd_raw_cg_out,0.01486124988449509,-0.01486124988449509,Local Structure,1.0,1.0,1.0
jsd_raw_cg_total,0.07720873365728038,-0.07720873365728038,Local Structure,1.0,1.0,1.0
jsd_raw_barrat_local,0.06657150463289462,-0.06657150463289462,Local Structure,1.0,1.0,1.0
jsd_raw_r_norm_ranked,0.008577517145438697,-0.008577517145438697,Local Structure,1.0,1.0,1.0
jsd_raw_page_rank,0.4162773055788385,-0.4162773055788385,Influence,1.0,1.0,1.0
jsd_raw_salsa_hub,0.0260541047985542,-0.0260541047985542,Influence,1.0,1.0,1.0
jsd_raw_salsa_authority,0.41154294457403207,-0.41154294457403207,Influence,1.0,1.0,1.0
jsd_raw_modularity_vitality_hub,0.023642664107559695,-0.023642664107559695,Influence,1.0,1.0,1.0
jsd_raw_modularity_vitality_bridge,0.03329216823786078,-0.03329216823786078,Influence,1.0,1.0,1.0
