type,distance_sq,n_measures,distance,normalized_contribution,type_similarity
Component Measure,2.417921556817783,14,1.5549667381708792,0.19577917225937788,0.39139452778782857
Link Measure,1.058097296955159,8,1.0286385647812155,0.08567416605541163,0.4929414324270464
Global Network Measure,0.35131304021599996,7,0.5927166609907301,0.02844582613669849,0.6278580644582209
Triad Census,1.2905918684428037,48,1.1360421948338026,0.10449925764380681,0.4681555459993178
K-Core Decomposition,1.243889586762,10,1.1152979811521224,0.10071777266373758,0.4727466337652051
S-Core Decomposition,1.2450152024809982,94,1.1158024925949028,0.10080891379820749,0.4726339077016404
Community Structure,0.20972487339300006,44,0.4579572833714953,0.016981428532827574,0.6858911515483644
Degree Measures,1.3080707645484235,8,1.143709213283002,0.10591452432271,0.46648117841903625
Local Reach,1.3663271027896344,3,1.1688999541404879,0.11063154156736255,0.46106322151511564
Local Structure,0.4792956597638046,9,0.6923118226376064,0.0388085822186752,0.5909076487106367
Influence,1.3800022031103099,5,1.1747349501527184,0.11173881480118464,0.45982615027627904
