type,distance_sq,n_measures,distance,normalized_contribution,type_similarity
Component Measure,2.417921556817783,14,1.5549667381708792,0.22049916216083074,0.39139452778782857
Link Measure,1.058097296955159,8,1.0286385647812155,0.0964917851885609,0.4929414324270464
Global Network Measure,0.169531691188,7,0.4117422630578503,0.015460218616794358,0.7083445938878307
Triad Census,0.3414016632486759,48,0.5842958696145951,0.031133673668769145,0.631195232645065
K-Core Decomposition,1.243889586762,10,1.1152979811521224,0.11343486761521632,0.4727466337652051
S-Core Decomposition,1.2450152024809982,94,1.1158024925949028,0.11353751665370738,0.4726339077016404
Community Structure,0.31583408249199996,40,0.5619911765250412,0.02880207191790586,0.6402084819868817
Degree Measures,0.9523274009756397,8,0.9758726356321503,0.0868462392528125,0.5061054958535145
Local Reach,1.3663271027896347,3,1.1688999541404879,0.12460039514236979,0.46106322151511564
Local Structure,0.47837943098888824,9,0.6916497892639658,0.043625180242344005,0.5911389025946667
Influence,1.376947294995375,5,1.1734339755586485,0.12556888954068876,0.460101393115917
