measure,value
num_nodes,468
num_edges,490
num_wcc,212
num_scc,468
largest_wcc,257
second_largest_wcc,1
min_wcc_size,1
largest_scc,1
second_largest_scc,1
num_isolates,211
num_dyads,0
num_triads,0
num_groups,1
bow_tie_in_size,0
bow_tie_out_size,0
bow_tie_scc_fraction,0.002136752136752137
bow_tie_in_fraction,0.0
bow_tie_out_fraction,0.0
all_links,"(count = 490, min = 1.0, max = 9.0, mean = 3.693877551020408, std = 2.160915165468834, sum = 1810.0)"
nonself_links,"(count = 489, min = 1.0, max = 9.0, mean = 3.6993865030674846, std = 2.159683484322614, sum = 1809.0)"
self_loops,"(count = 1, min = 1.0, max = 1.0, mean = 1.0, std = 0.0, sum = 1.0)"
degree assortativity,-0.130989
transitivity,0.0
local clustering coefficient,0.0
reciprocity,0.0
density,0.002237
resolution,0.5
modularity,0.500823
