node,community,in_degree,out_degree,total_degree,in_degree_in_group,out_degree_in_group,total_degree_in_group,in_degree_between,out_degree_between,total_degree_between,weighted_in_degree,weighted_out_degree,weighted_total_degree,weighted_in_degree_in_group,weighted_out_degree_in_group,weighted_total_degree_in_group,weighted_in_degree_between,weighted_out_degree_between,weighted_total_degree_between,in_group_indegree_ratio,in_group_outdegree_ratio,in_group_indegree_strength_fraction,in_group_outdegree_strength_fraction,k_core_in,k_core_out,k_core_undirected,s_core_in,s_core_out,s_core_undirected,in_reach_2,out_reach_2,undirected_reach_2,out_degree_normalized,in_degree_normalized,in_out_ratio,weighted_in_out_ratio,ego_density,density_clustering_coefficient,cg_cycle,cg_middleman,cg_in,cg_out,cg_total,barrat_local,r_norm_ranked,page_rank,salsa_hub,salsa_authority,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized,in_reach_2_normalized,out_reach_2_normalized
7524153963603998917,1,0,254,254,0,150,150,0,104,104,0.0,1379.0,1379.0,0.0,883.0,883.0,0.0,496.0,496.0,0.0,0.5905511811023622,0.0,0.640319071791153,0,0,2,0.0,3.0,12.0,1,255,257,0.32809897692124673,0.0,0.0,0.0,0.00392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003846199011396872,0.33333333333333326,0.0,0.19505580840795828,0.0,0.0011758999981698055,0.0021413276231263384,0.5460385438972163
7399440070709979434,2,0,233,233,0,102,102,0,131,131,0.0,428.0,428.0,0.0,244.0,244.0,0.0,184.0,184.0,0.0,0.43776824034334766,0.0,0.5700934579439252,0,0,2,0.0,2.0,11.0,1,234,235,0.10183202474423031,0.0,0.0,0.0,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003846199011396872,0.3333333333333334,0.0,0.20892266491849848,0.0,0.0010752392979373707,0.0021413276231263384,0.5010706638115632
8177346544881664043,3,1,3,3,1,3,3,0,0,0,1.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,2,1.0,1.0,2.0,1,3,4,0.0004758505829169641,0.0,0.3333333333222222,0.3333333333222222,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003846199011396872,0.3333333333333332,0.0,0.0029468675255286403,0.0,1.830194549680631e-5,0.0021413276231263384,0.006423982869379015
422174908067001742,3,2,0,2,1,0,1,1,0,1,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0,0,2,2.0,0.0,1.0,3,1,256,0.0,0.0004758505829169641,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005770127639878471,0.0,0.003937007874015753,0.0009122876057130469,0.0,0.0011713245117956038,0.006423982869379015,0.0021413276231263384
1088130128537301131,1,2,0,2,1,0,1,1,0,1,6.0,0.0,6.0,5.0,0.0,5.0,1.0,0.0,1.0,0.5,0.0,0.8333333333333334,0.0,0,0,2,7.0,0.0,5.0,3,1,256,0.0,0.0014275517487508922,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003869107728646416,0.0,0.003937007874015749,0.0,0.00010894338054417974,0.0011713245117956038,0.006423982869379015,0.0021413276231263384
725140664409406866,2,2,0,2,1,0,1,1,0,1,3.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,2.0,0.5,0.0,0.3333333333333333,0.0,0,0,2,4.0,0.0,2.0,3,1,256,0.0,0.0007137758743754461,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038607488787037003,0.0,0.003937007874015749,3.689036911580512e-5,0.0,0.0011713245117956038,0.006423982869379015,0.0021413276231263384
480775452057338485,3,2,0,2,1,0,1,1,0,1,3.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,2.0,0.5,0.0,0.3333333333333333,0.0,0,0,2,3.0,0.0,2.0,3,1,256,0.0,0.0007137758743754461,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005772913923192709,0.0,0.003937007874015752,0.0008450370066309665,0.0,0.0011713245117956038,0.006423982869379015,0.0021413276231263384
9762339333769678898,2,2,0,2,1,0,1,1,0,1,5.0,0.0,5.0,2.0,0.0,2.0,3.0,0.0,3.0,0.5,0.0,0.4,0.0,0,0,2,6.0,0.0,4.0,3,1,256,0.0,0.0011896264572924102,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003872512462696291,0.0,0.00393700787401575,0.00034624063489868684,0.0,0.0011713245117956038,0.006423982869379015,0.0021413276231263384
5231813673079595751,1,2,0,2,1,0,1,1,0,1,7.0,0.0,7.0,6.0,0.0,6.0,1.0,0.0,1.0,0.5,0.0,0.8571428571428571,0.0,0,0,2,8.0,0.0,6.0,3,1,256,0.0,0.0016654770402093743,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003871894011960654,0.0,0.003937007874015749,0.0,0.00017711327366248808,0.0011713245117956038,0.006423982869379015,0.0021413276231263384
8472378112518352925,1,2,0,2,1,0,1,1,0,1,10.0,0.0,10.0,9.0,0.0,9.0,1.0,0.0,1.0,0.5,0.0,0.9,0.0,0,0,2,11.0,0.0,9.0,3,1,256,0.0,0.0023792529145848203,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038802528619033693,0.0,0.003937007874015749,0.0,0.0003584704204527278,0.0011713245117956038,0.006423982869379015,0.0021413276231263384
4647250235727854959,1,1,0,1,1,0,1,0,0,0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,1,4.0,0.0,2.0,2,1,255,0.0,0.0007137758743754461,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038545578613395867,0.0,0.003937007874015749,0.0,3.158832883343177e-5,0.0011667490254214023,0.004282655246252677,0.0021413276231263384
