measure,network_1_values,network_2_values,type,weight_1,weight_2,weight
num_nodes,7.898782494756193,9.911852471326279,Component Measure,1.0,1.0,1.0
num_edges,8.74703428943754,10.562871103611926,Component Measure,1.0,1.0,1.0
largest_wcc_proportion,0.806978,0.999603,Component Measure,1.0,1.0,1.0
second_largest_wcc_proportion,0.040089,0.000397,Component Measure,1.0,1.0,1.0
min_wcc_size_proportion,0.000742,0.000397,Component Measure,1.0,1.0,1.0
largest_scc_proportion,0.013363,0.01666,Component Measure,1.0,1.0,1.0
second_largest_scc_proportion,0.005197,9.9e-5,Component Measure,1.0,1.0,1.0
num_isolates_proportion,0.764706,0.0,Component Measure,1.0,1.0,1.0
num_dyads_proportion,0.095588,0.0,Component Measure,1.0,1.0,1.0
num_triads_proportion,0.051471,0.0,Component Measure,1.0,1.0,1.0
num_groups_proportion,0.088235,1.0,Component Measure,1.0,1.0,1.0
bow_tie_scc_fraction,0.013363028953229399,0.016660055533518445,Component Measure,1.0,1.0,1.0
bow_tie_in_fraction,0.014847809948032665,0.002578341927806426,Component Measure,1.0,1.0,1.0
bow_tie_out_fraction,0.6139569413511508,0.9722332407774693,Component Measure,1.0,1.0,1.0
all_link_mean,1.0,0.7370130534775171,Link Measure,1.0,1.0,1.0
all_link_std,1.0,0.2711495610437913,Link Measure,1.0,1.0,1.0
non_self_proportion,0.9869675778766688,0.9963798096814233,Link Measure,1.0,1.0,1.0
non_self_mean,1.0,0.7411825342905856,Link Measure,1.0,1.0,1.0
non_self_std,1.0,0.26736273061481985,Link Measure,1.0,1.0,1.0
self_loops_proportion,0.013032422123331213,0.003620190318576748,Link Measure,1.0,1.0,1.0
self_loops_mean,1.0,0.7539513677811551,Link Measure,1.0,1.0,1.0
self_loops_std,1.0,0.5368035062829637,Link Measure,1.0,1.0,1.0
degree assortativity,0.097475,-0.089463,Global Network Measure,1.0,1.0,1.0
transitivity,0.231834,0.138257,Global Network Measure,1.0,1.0,1.0
local clustering coefficient,0.426538,0.439872,Global Network Measure,1.0,1.0,1.0
reciprocity,0.026286,0.032619,Global Network Measure,1.0,1.0,1.0
density,0.001713,0.000189,Global Network Measure,1.0,1.0,1.0
resolution,0.879167,0.5,Global Network Measure,1.0,1.0,1.0
modularity,0.592877,0.819319,Global Network Measure,1.0,1.0,1.0
003_AUMC_density,0.901654368508417,0.47708009551392977,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
012_AUMC_density,0.0013550107446292851,3.963715731268496e-5,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
102_AUMC_density,2.148204318039849e-5,1.2407682408263076e-6,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021D_AUMC_density,5.027821691570006e-5,2.1997472712434467e-7,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021U_AUMC_density,1.2060692457502384e-6,5.195190591259676e-9,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
