type,distance_sq,n_measures,distance,normalized_contribution,type_similarity
Component Measure,8.944831218812256,14,2.990791069067222,0.5797649772789679,0.2505768863098445
Link Measure,1.479397046879908,8,1.2163046686089418,0.09588806924238338,0.4512015040908828
Global Network Measure,0.23896628904700004,7,0.48884178324586786,0.015488753420902439,0.67166304119963
Triad Census,0.7338699434002397,48,0.8566620940605693,0.04756625146445793,0.5386009674021909
K-Core Decomposition,0.48842919881,34,0.6988770985015892,0.031657852051462806,0.588624098165783
S-Core Decomposition,0.6042495197500032,385,0.7773348826278177,0.039164820500124056,0.5626401697138157
Community Structure,0.012324912932000007,42,0.11101762442062975,0.0007988471432482845,0.900075730591112
Degree Measures,0.2990579946773618,8,0.5468619521207906,0.019383635895170885,0.6464700994351644
Local Reach,0.7045136016252376,3,0.8393530851943284,0.04566350132800116,0.5436694064067364
Local Structure,0.48713213935415656,9,0.6979485219943922,0.0315737823102289,0.5889460057513467
Influence,1.435602681917802,5,1.1981663832364027,0.09304950936505417,0.45492461700177617
