type,distance_sq,n_measures,distance,normalized_contribution,type_similarity
Component Measure,8.944831218812256,14,2.990791069067222,0.6007546543905692,0.2505768863098445
Link Measure,1.479397046879908,8,1.2163046686089418,0.09935957871799639,0.4512015040908828
Global Network Measure,0.3556468107080001,7,0.5963613088623373,0.023886026647729555,0.6264246035333065
Triad Census,0.07402983274415806,48,0.27208423832364503,0.004972007352276658,0.7861114617046131
K-Core Decomposition,0.48842919881,34,0.6988770985015892,0.03280398560324394,0.588624098165783
S-Core Decomposition,0.6042495197500032,385,0.7773348826278177,0.04058273460091989,0.5626401697138157
Community Structure,0.016216527494999997,45,0.12734413019452445,0.0010891378643550866,0.8870405878881447
Degree Measures,0.2929519655288884,8,0.5412503723129328,0.01967530213808937,0.6488238497547378
Local Reach,0.7044025281138384,3,0.8392869164438573,0.04730923222328431,0.5436889650329464
Local Structure,0.4936333451502527,9,0.7025904533583222,0.03315350758521954,0.587340307252118
Influence,1.4355368800468087,5,1.198138923517139,0.09641383287631798,0.45493030003760954
