triad,AUMC_density,peak_tau,peak_density
003,0.47708009551392977,2.080083823051904,0.9999877298612174
012,3.963715731268496e-5,1.0,0.0010851112269991213
102,1.2407682408263076e-6,1.0,1.5869832439829545e-5
021D,2.1997472712434467e-7,1.0,8.220937029184277e-6
021U,5.195190591259676e-9,1.0,1.3261246803812744e-7
021C,3.916080863352502e-8,1.0,1.3915266187604966e-6
111D,9.682608994819215e-10,1.0,2.0877815840226006e-8
111U,9.410018961108312e-9,1.0,3.389674653083848e-7
030T,4.654044297814242e-9,1.0,1.452140765337839e-7
030C,5.95757387279375e-11,1.0,7.843081924839597e-10
201,7.524539917460855e-11,1.0,1.6856773092192568e-9
120D,2.2558105237088835e-10,1.0,4.565376045802154e-9
120U,1.235265707687079e-9,1.0,4.3880287455613783e-8
120C,1.4459528253759835e-10,1.0,2.85628655173263e-9
210,1.5111137896096644e-10,1.0,3.476709450264717e-9
300,2.575409538759798e-11,1.0,9.130752091604308e-10
