measure,network_1_values,network_2_values,type,weight_1,weight_2,weight
num_nodes,6.238328439714945,5.730110324213542,Component Measure,1.0,1.0,1.0
num_edges,7.62754462751613,7.045777335659257,Component Measure,1.0,1.0,1.0
largest_wcc_proportion,0.914062,0.12987,Component Measure,1.0,1.0,1.0
second_largest_wcc_proportion,0.054688,0.12987,Component Measure,1.0,1.0,1.0
min_wcc_size_proportion,0.003906,0.012987,Component Measure,1.0,1.0,1.0
largest_scc_proportion,0.0,0.0,Component Measure,1.0,1.0,1.0
second_largest_scc_proportion,0.0,0.0,Component Measure,1.0,1.0,1.0
num_isolates_proportion,0.666667,0.0,Component Measure,1.0,1.0,1.0
num_dyads_proportion,0.111111,0.1,Component Measure,1.0,1.0,1.0
num_triads_proportion,0.0,0.25,Component Measure,1.0,1.0,1.0
num_groups_proportion,0.222222,0.65,Component Measure,1.0,1.0,1.0
bow_tie_scc_fraction,0.0,0.0,Component Measure,1.0,1.0,1.0
bow_tie_in_fraction,0.0,0.0,Component Measure,1.0,1.0,1.0
bow_tie_out_fraction,0.0,0.0,Component Measure,1.0,1.0,1.0
all_link_mean,0.054954801433763245,1.0,Link Measure,1.0,1.0,1.0
all_link_std,0.12958413809319236,1.0,Link Measure,1.0,1.0,1.0
non_self_proportion,1.0,1.0,Link Measure,1.0,1.0,1.0
non_self_mean,0.054954801433763245,1.0,Link Measure,1.0,1.0,1.0
non_self_std,0.12958413809319236,1.0,Link Measure,1.0,1.0,1.0
self_loops_proportion,0.0,0.0,Link Measure,1.0,1.0,1.0
self_loops_mean,2.2250738585072014e-307,0.0,Link Measure,1.0,1.0,1.0
self_loops_std,2.8925960160593618e-307,0.0,Link Measure,1.0,1.0,1.0
degree assortativity,-0.015341,0.592541,Global Network Measure,1.0,1.0,1.0
transitivity,0.396763,0.904597,Global Network Measure,1.0,1.0,1.0
local clustering coefficient,0.883021,0.957757,Global Network Measure,1.0,1.0,1.0
density,0.031464,0.048723,Global Network Measure,1.0,1.0,1.0
resolution,0.5,0.5,Global Network Measure,1.0,1.0,1.0
modularity,0.704552,0.954894,Global Network Measure,1.0,1.0,1.0
003_AUMC_density,2.12506428015551,2.0883177629878693,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
012_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
102_AUMC_density,0.06702097492536166,0.19354911284089624,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021D_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021U_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021C_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111D_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111U_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030T_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030C_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
201_AUMC_density,0.003053455672217983,0.000814428946785438,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120D_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120U_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120C_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
210_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
300_AUMC_density,0.0007609416561439599,0.002948586246580697,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
003_peak_tau,156.99999999999994,1316.4799999999996,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
012_peak_tau,1.0,6.820000000000004,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
102_peak_tau,1.0,6.820000000000004,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021D_peak_tau,1.0,6.820000000000004,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
