type,distance_sq,n_measures,distance,normalized_contribution,type_similarity
Component Measure,1.9074930858412777,14,1.3811202285975244,9.309791267726808e-5,0.4199703937625184
Link Measure,3.301468399984137,8,1.8169943313021473,0.00016113286023939933,0.354988289783939
Global Network Measure,0.7076243346270001,6,0.841204098080246,3.4536611955455395e-5,0.5431228406685942
Triad Census,20481.58476776602,48,143.11388740358504,0.9996328712041312,0.006938956529564295
K-Core Decomposition,0.092056380977,14,0.30340794481522726,4.4929425858454714e-6,0.7672195063547516
S-Core Decomposition,0.017411483415999997,125,0.13195258017939626,8.497922087772904e-7,0.8834292332648035
Community Structure,0.034481051536,20,0.18569074165396615,1.682896755299705e-6,0.8433902407005903
Degree Measures,0.5870240408663625,3,0.766174941424191,2.8650543114252284e-5,0.5661953278499295
Local Reach,0.30169417818864114,1,0.5492669462006986,1.4724613402128678e-5,0.6454665559426812
Local Structure,0.5367217188009069,3,0.7326129392802907,2.6195466751525548e-5,0.5771629527454583
Influence,0.036166473650939515,2,0.19017485020617084,1.7651561784376781e-6,0.8402126795292075
