type,distance_sq,n_measures,distance,normalized_contribution,type_similarity
Component Measure,1.9074930858412777,14,1.3811202285975244,9.309713273977571e-5,0.4199703937625184
Link Measure,3.301468399984137,8,1.8169943313021473,0.00016113151033202397,0.354988289783939
Global Network Measure,0.7076243346270001,6,0.841204098080246,3.45363226213796e-5,0.5431228406685942
Triad Census,20481.58476776602,48,143.11388740358504,0.9996244966752892,0.006938956529564295
K-Core Decomposition,0.092056380977,14,0.30340794481522726,4.492904945749437e-6,0.7672195063547516
S-Core Decomposition,0.017411483415999997,125,0.13195258017939626,8.497850895542563e-7,0.8834292332648035
Community Structure,0.034481051536,20,0.18569074165396615,1.6828826566562716e-6,0.8433902407005903
Degree Measures,0.5946722404196032,3,0.7711499467805228,2.9023581219738323e-5,0.5646049346740702
Local Reach,0.30169417818864114,1,0.5492669462006986,1.472449004514115e-5,0.6454665559426812
Local Structure,0.7007245915570005,3,0.8370929408118315,3.4199573669980486e-5,0.5443382736847756
Influence,0.036166473650939515,2,0.19017485020617084,1.7651413906573309e-6,0.8402126795292075
