node,community,total_degree,weighted_total_degree,total_degree_in_group,weighted_total_degree_in_group,total_degree_between,weighted_total_degree_between,in_group_ratio,internal_strength_fraction,k_core_all,s_core_all,undirected_reach_2,total_degree_normalized,ego_density,density_clustering_coefficient,barrat_weighted_clustering,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized
Marines,10,27,423.0,10,293.0,17,130.0,0.37037037037037035,0.6926713947990544,18,83,184,0.0026123205187586845,0.5423280423280423,0.4708994708994709,0.4562647754137116,0.0,0.009418771506358059,0.002818627450980392
PacificOcean,10,12,1248.0,12,1248.0,0,0.0,1.0,1.0,5,98,132,0.007707271885132006,0.5256410256410257,0.3717948717948718,0.6941287878787878,0.0,0.008052452533117815,0.002022058823529412
FriendsPartnersAllies,10,62,1306.0,33,1000.0,29,306.0,0.532258064516129,0.7656967840735069,13,92,169,0.008065462405434615,0.13517665130568357,0.10343061955965181,0.17410187532950067,0.0,0.025349000449026438,0.002588848039215686
JointForce,10,20,1004.0,20,1004.0,0,0.0,1.0,1.0,7,93,168,0.006200401420410684,0.38571428571428573,0.2904761904761905,0.5258964143426295,0.0,0.006501431363664545,0.002573529411764706
USMarines,10,1,17.0,1,17.0,0,0.0,1.0,1.0,1,21,132,0.00010498687664041995,1.0,0.0,0.0,0.0,0.0001108750244024348,0.002022058823529412
AlwaysReady,2,30,268.0,25,212.0,5,56.0,0.8333333333333334,0.7910447761194029,18,70,178,0.001655087231743091,0.4838709677419355,0.41935483870967744,0.4166237776634071,0.0018522122260239415,0.0,0.0027267156862745097
Readiness,10,40,2156.0,24,2001.0,16,155.0,0.6,0.9281076066790352,18,99,153,0.013314806237455613,0.30121951219512194,0.2524390243902439,0.4422125493554065,0.0,0.022997272210825814,0.00234375
IndoPacific,2,37,303.0,19,240.0,18,63.0,0.5135135135135135,0.7920792079207921,18,69,173,0.001871236683649838,0.3357041251778094,0.283072546230441,0.2928126145947928,0.002599552123616733,0.0,0.002650122549019608
StrongerTogether,10,2,8.0,2,8.0,0,0.0,1.0,1.0,2,12,167,4.9405589007256447e-5,1.0,0.3333333333333333,1.0,0.0,5.217748817931689e-5,0.0025582107843137255
Aircraft,2,18,148.0,14,116.0,4,32.0,0.7777777777777778,0.7837837837837838,18,68,151,0.0009140033966342443,1.0,0.8947368421052632,1.0,0.0008958937223436658,0.0,0.0023131127450980392
Airpower,2,5,120.0,4,96.0,1,24.0,0.8,0.8,5,64,82,0.0007410838351088467,1.0,0.6666666666666666,1.0,0.0008756270885872386,0.0,0.0012561274509803922
BTF,2,15,162.0,12,127.0,3,35.0,0.8,0.7839506172839507,6,66,167,0.001000463177396943,0.5166666666666667,0.39166666666666666,0.5119047619047619,0.000987773425553784,0.0,0.0025582107843137255
ShoulderToShoulder,9,28,74.0,23,56.0,5,18.0,0.8214285714285714,0.7567567567567568,10,33,164,0.00045700169831712213,0.22167487684729065,0.15270935960591134,0.18368368368368368,0.0008820911482739779,0.0,0.0025122549019607845
WeAreNATO,10,6,14.0,3,8.0,3,6.0,0.5,0.5714285714285714,4,14,66,8.645978076269878e-5,0.7142857142857143,0.42857142857142855,0.6571428571428571,0.0,0.0003919264769913777,0.001011029411764706
SaveApayao,7,2,18.0,2,18.0,0,0.0,1.0,1.0,2,22,14,0.00011116257526632701,1.0,0.3333333333333333,1.0,0.0004710671710023151,0.0,0.0002144607843137255
Lethality,10,7,680.0,7,680.0,0,0.0,1.0,1.0,5,97,132,0.004199475065616798,0.7142857142857143,0.4642857142857143,0.8450980392156863,0.0,0.004419043159285985,0.002022058823529412
AFPyoucanTRUST,1,5,55.0,3,43.0,2,12.0,0.6,0.7818181818181819,4,44,87,0.00033966342442488806,0.7333333333333333,0.4,0.7181818181818181,0.0005956747485126312,0.0,0.0013327205882352942
Balikatan,3,15,235.0,10,223.0,5,12.0,0.6666666666666666,0.948936170212766,7,78,185,0.001451289177088158,0.36666666666666664,0.24166666666666667,0.08875379939209727,0.006071511066688129,0.0,0.0028339460784313725
BK22,10,7,25.0,4,18.0,3,7.0,0.5714285714285714,0.72,5,21,164,0.0001543924656476764,0.7142857142857143,0.4642857142857143,0.6733333333333333,0.0,0.000498535297951741,0.0025122549019607845
Oorah,2,18,126.0,14,98.0,4,28.0,0.7777777777777778,0.7777777777777778,18,67,151,0.0007781380268642891,1.0,0.8947368421052632,1.0,0.0006957919452212913,0.0,0.0023131127450980392
VFA22,10,5,10.0,5,10.0,0,0.0,1.0,1.0,5,14,132,6.175698625907056e-5,1.0,0.6666666666666666,1.0,0.0,6.522158483901475e-5,0.002022058823529412
VCA30,10,5,10.0,5,10.0,0,0.0,1.0,1.0,5,14,132,6.175698625907056e-5,1.0,0.6666666666666666,1.0,0.0,6.522158483901475e-5,0.002022058823529412
USSNimitz,10,5,10.0,5,10.0,0,0.0,1.0,1.0,5,14,132,6.175698625907056e-5,1.0,0.6666666666666666,1.0,0.0,6.522158483901475e-5,0.002022058823529412
Japan,2,18,148.0,14,116.0,4,32.0,0.7777777777777778,0.7837837837837838,18,68,151,0.0009140033966342443,1.0,0.8947368421052632,1.0,0.0008958937223436658,0.0,0.0023131127450980392
