node,community,total_degree,weighted_total_degree,total_degree_in_group,weighted_total_degree_in_group,total_degree_between,weighted_total_degree_between,in_group_ratio,internal_strength_fraction,k_core_all,s_core_all,undirected_reach_2,total_degree_normalized,ego_density,density_clustering_coefficient,barrat_weighted_clustering,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized
ChallengingTheOrder,1,6,1508.0,6,1508.0,0,0.0,1.0,1.0,6,59,7,0.00532192718700151,1.0,0.7142857142857143,1.0,0.0003850524788693299,0.0,0.00029708853238265005
DestabilizingTheIndoHotWater,1,6,3614.0,6,3614.0,0,0.0,1.0,1.0,6,85,7,0.012754273775745,1.0,0.7142857142857143,1.0,0.0010954289939899553,0.0,0.00029708853238265005
RiskingGlobalStability,1,6,2406.0,6,2406.0,0,0.0,1.0,1.0,6,82,7,0.00849108541904883,1.0,0.7142857142857143,1.0,0.000662618145618965,0.0,0.00029708853238265005
SelfishPowerPlay,1,6,3614.0,6,3614.0,0,0.0,1.0,1.0,6,85,7,0.012754273775745,1.0,0.7142857142857143,1.0,0.0010954289939899553,0.0,0.00029708853238265005
RedLandFirstAtAllCosts,1,6,2052.0,6,2052.0,0,0.0,1.0,1.0,6,81,7,0.007241773599288528,1.0,0.7142857142857143,1.0,0.0005487871436972158,0.0,0.00029708853238265005
HegemonyDreams,1,6,1068.0,6,1068.0,0,0.0,1.0,1.0,6,50,7,0.0037691102358870113,1.0,0.7142857142857143,1.0,0.00026237706769838276,0.0,0.00029708853238265005
BluelandExposed,2,2,180.0,2,180.0,0,0.0,1.0,1.0,2,10,3,0.0006352432981832042,1.0,0.3333333333333333,1.0,0.00010236384728568027,0.0,0.00012732365673542143
CyberIncompetence,2,2,156.0,2,156.0,0,0.0,1.0,1.0,2,9,3,0.000550544191758777,1.0,0.3333333333333333,1.0,8.861897486667214e-5,0.0,0.00012732365673542143
BlueLandOutOfOkinawa,3,17,5890.0,17,5890.0,0,0.0,1.0,1.0,10,110,20,0.02078657236832818,0.5620915032679739,0.45098039215686275,0.6209040747028862,0.0,0.00020050546498029398,0.0008488243782361429
DrunkAndAboveTheLaw,3,6,752.0,6,752.0,0,0.0,1.0,1.0,6,29,18,0.0026539053346320528,1.0,0.7142857142857143,1.0,0.0,9.591865901603658e-5,0.0007639419404125286
JusticeForOkinawa,3,15,2478.0,15,2478.0,0,0.0,1.0,1.0,10,65,20,0.00874518273832211,0.625,0.5,0.6433183442868673,0.0,0.00024170916863175407,0.0008488243782361429
HowManyMore,3,6,800.0,6,800.0,0,0.0,1.0,1.0,6,30,18,0.0028233035474809075,1.0,0.7142857142857143,1.0,0.0,0.00010138808146276101,0.0007639419404125286
EndOkinawaOccupation,3,14,4642.0,14,4642.0,0,0.0,1.0,1.0,10,110,20,0.016382218834257965,0.6952380952380952,0.5619047619047619,0.8177178271965002,0.0,0.0002689408244292979,0.0008488243782361429
EndBlueLandOccupation,3,10,3390.0,10,3390.0,0,0.0,1.0,1.0,10,108,20,0.011963748782450346,1.0,0.8181818181818182,1.0,0.0,0.00027501793730710933,0.0008488243782361429
DecolonizeOkinawa,3,14,3484.0,14,3484.0,0,0.0,1.0,1.0,10,105,20,0.012295486949279353,0.6952380952380952,0.5619047619047619,0.758191292060408,0.0,0.00027667031087963423,0.0008488243782361429
MarinesKillCivilians,3,6,948.0,6,948.0,0,0.0,1.0,1.0,6,31,18,0.003345614703764875,1.0,0.7142857142857143,1.0,0.0,0.0001177526729911893,0.0007639419404125286
OkinawaIsNotABase,3,6,728.0,6,728.0,0,0.0,1.0,1.0,6,28,18,0.0025692062282076256,1.0,0.7142857142857143,1.0,0.0,9.315428048861651e-5,0.0007639419404125286
CyberResilience,7,4,5084.0,4,5084.0,0,0.0,1.0,1.0,3,118,5,0.017942094044241165,0.9,0.5,0.8726724364017834,0.001779893872706717,0.0,0.00021220609455903573
BlueSecured,7,3,1644.0,3,1644.0,0,0.0,1.0,1.0,3,83,5,0.0058018887900732645,1.0,0.5,1.0,0.0004437942182220489,0.0,0.00021220609455903573
InfoLiberation,19,1,620.0,1,620.0,0,0.0,1.0,1.0,1,26,3,0.002188060249297703,1.0,0.0,0.0,0.00035036960274692497,0.0,0.00012732365673542143
Exposed,19,1,4.0,1,4.0,0,0.0,1.0,1.0,1,1,3,1.4116517737404537e-5,1.0,0.0,0.0,2.1972840998918386e-6,0.0,0.00012732365673542143
CyberIncident,20,2,1564.0,2,1564.0,0,0.0,1.0,1.0,2,56,3,0.005519558435325174,1.0,0.3333333333333333,1.0,0.0008189746783675567,0.0,0.00012732365673542143
BluelandResponse,20,2,1316.0,2,1316.0,0,0.0,1.0,1.0,2,55,3,0.004644334335606092,1.0,0.3333333333333333,1.0,0.0006807944888376216,0.0,0.00012732365673542143
GovUpdate,4,2,714.0,2,714.0,0,0.0,1.0,1.0,2,27,3,0.0025197984161267097,1.0,0.3333333333333333,1.0,0.00039353545110409893,0.0,0.00012732365673542143
OperationalContinuity,4,2,714.0,2,714.0,0,0.0,1.0,1.0,2,27,3,0.0025197984161267097,1.0,0.3333333333333333,1.0,0.00039353545110409893,0.0,0.00012732365673542143
DangerousMarines,3,6,402.0,6,402.0,0,0.0,1.0,1.0,6,18,20,0.001418710032609156,1.0,0.7142857142857143,1.0,0.0,5.365602739926256e-5,0.0008488243782361429
OkinawaNotABase,3,12,4234.0,12,4234.0,0,0.0,1.0,1.0,10,109,20,0.014942334025042702,0.8461538461538461,0.6923076923076923,0.9412547773435822,0.0,0.0002776574878552429,0.0008488243782361429
OkinawanVoicesMatter,3,14,2138.0,14,2138.0,0,0.0,1.0,1.0,10,66,20,0.007545278730642725,0.6952380952380952,0.5619047619047619,0.7813916672663165,0.0,0.00022141489511773305,0.0008488243782361429
OkinawaProtests,3,6,368.0,6,368.0,0,0.0,1.0,1.0,6,17,20,0.0012987196318412174,1.0,0.7142857142857143,1.0,0.0,4.932857069883667e-5,0.0008488243782361429
NoMoreForeignBoots,3,10,654.0,10,654.0,0,0.0,1.0,1.0,10,23,20,0.002308050650065642,1.0,0.8181818181818182,1.0,0.0,8.450651088076633e-5,0.0008488243782361429
OkinawanLivesFirst,3,10,600.0,10,600.0,0,0.0,1.0,1.0,10,22,20,0.0021174776606106807,1.0,0.8181818181818182,1.0,0.0,7.807776843937742e-5,0.0008488243782361429
NowAndOnlyOkinawan,3,4,512.0,4,512.0,0,0.0,1.0,1.0,4,19,15,0.0018069142703877807,1.0,0.6,1.0,0.0,6.738819737073243e-5,0.0006366182836771072
