triad,AUMC_density,peak_tau,peak_density
003,2.0883177629878693,1316.4799999999996,0.9984737914304478
012,0.0,6.820000000000004,0.0
102,0.19354911284089624,6.820000000000004,0.1361910793025344
021D,0.0,6.820000000000004,0.0
021U,0.0,6.820000000000004,0.0
021C,0.0,6.820000000000004,0.0
111D,0.0,6.820000000000004,0.0
111U,0.0,6.820000000000004,0.0
030T,0.0,6.820000000000004,0.0
030C,0.0,6.820000000000004,0.0
201,0.000814428946785438,6.820000000000004,0.0007388122713200113
120D,0.0,6.820000000000004,0.0
120U,0.0,6.820000000000004,0.0
120C,0.0,6.820000000000004,0.0
210,0.0,6.820000000000004,0.0
300,0.002948586246580697,6.820000000000004,0.002323656735421441
