measure,network_1_values,network_2_values,type,weight_1,weight_2,weight
num_nodes,7.898782494756193,9.911852471326279,Component Measure,1.0,1.0,1.0
num_edges,8.174702961818788,9.788525537212708,Component Measure,1.0,1.0,1.0
largest_wcc_proportion,0.49072,0.155891,Component Measure,1.0,1.0,1.0
second_largest_wcc_proportion,0.017817,9.9e-5,Component Measure,1.0,1.0,1.0
min_wcc_size_proportion,0.000742,9.9e-5,Component Measure,1.0,1.0,1.0
largest_scc_proportion,0.005197,0.015073,Component Measure,1.0,1.0,1.0
second_largest_scc_proportion,0.00297,9.9e-5,Component Measure,1.0,1.0,1.0
num_isolates_proportion,0.97293,0.999883,Component Measure,1.0,1.0,1.0
num_dyads_proportion,0.011146,0.0,Component Measure,1.0,1.0,1.0
num_triads_proportion,0.004777,0.0,Component Measure,1.0,1.0,1.0
num_groups_proportion,0.011146,0.000117,Component Measure,1.0,1.0,1.0
bow_tie_scc_fraction,0.005196733481811433,0.01507338357794526,Component Measure,1.0,1.0,1.0
bow_tie_in_fraction,0.016332590942835932,0.003966679888932963,Component Measure,1.0,1.0,1.0
bow_tie_out_fraction,0.18188567186340016,0.13328044426814756,Component Measure,1.0,1.0,1.0
all_link_mean,1.0,0.7936965072390634,Link Measure,1.0,1.0,1.0
all_link_std,1.0,0.21286902077170505,Link Measure,1.0,1.0,1.0
non_self_proportion,0.9870422535211267,0.9977563383441777,Link Measure,1.0,1.0,1.0
non_self_mean,1.0,0.7930524181856772,Link Measure,1.0,1.0,1.0
non_self_std,1.0,0.21120563271968584,Link Measure,1.0,1.0,1.0
self_loops_proportion,0.012957746478873239,0.002243661655822302,Link Measure,1.0,1.0,1.0
self_loops_mean,1.0,0.9120689655172413,Link Measure,1.0,1.0,1.0
self_loops_std,1.0,0.901753172317006,Link Measure,1.0,1.0,1.0
degree assortativity,-0.032389,-0.040022,Global Network Measure,1.0,1.0,1.0
transitivity,0.303037,0.224255,Global Network Measure,1.0,1.0,1.0
local clustering coefficient,0.270217,0.277042,Global Network Measure,1.0,1.0,1.0
reciprocity,0.013823,0.035622,Global Network Measure,1.0,1.0,1.0
density,0.000966,8.7e-5,Global Network Measure,1.0,1.0,1.0
resolution,0.825,1.691667,Global Network Measure,1.0,1.0,1.0
modularity,0.622724,0.57083,Global Network Measure,1.0,1.0,1.0
003_AUMC_density,0.3518213546318784,0.23281498325489366,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
012_AUMC_density,0.0007534736125336494,0.00016773336734636452,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
102_AUMC_density,4.956159387281868e-6,6.760229305522181e-6,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021D_AUMC_density,7.962279559295956e-6,1.1140857895500555e-7,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021U_AUMC_density,1.2821393669471409e-6,2.087558809545249e-7,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021C_AUMC_density,2.238891628302175e-6,1.1681676239942327e-7,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111D_AUMC_density,3.76764017001386e-8,1.69456414591756e-8,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111U_AUMC_density,3.0826146845567945e-8,8.653093511068391e-9,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030T_AUMC_density,4.6163106325523345e-7,4.542874093310905e-8,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030C_AUMC_density,3.805697141428139e-9,2.5238189407282807e-9,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
201_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120D_AUMC_density,3.425127427285327e-9,8.292547948107208e-9,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120U_AUMC_density,3.425127427285327e-9,2.5238189407282807e-9,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120C_AUMC_density,3.425127427285327e-9,2.8843645036894637e-9,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
210_AUMC_density,0.0,3.6054556296118296e-10,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
300_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
003_peak_tau,2.1877578318044586,1.1132635768448034,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
012_peak_tau,1.2250334656419144,1.1132635768448034,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
102_peak_tau,1.2250334656419144,1.1132635768448034,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021D_peak_tau,1.2250334656419144,1.1132635768448034,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021U_peak_tau,1.2250334656419144,1.1132635768448034,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021C_peak_tau,1.2250334656419144,1.1132635768448034,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
