type,distance_sq,n_measures,distance,normalized_contribution,type_similarity
Component Measure,6.773012701867853,14,2.602501239551646,0.5301974457047944,0.2775849148977549
Link Measure,1.3447740542603746,8,1.1596439342575697,0.10527010652472304,0.46303929279146394
Global Network Measure,0.05424536432500001,7,0.23290634238895258,0.004246375264955487,0.8110916179264198
Triad Census,0.5971392761517998,48,0.7727478735990154,0.0467445925294636,0.564096008740267
K-Core Decomposition,0.7138543039430001,27,0.8448989903787316,0.05588114849564283,0.5420350952627028
S-Core Decomposition,0.3999996890779986,286,0.6324552862282034,0.03131233068164481,0.6125742055149977
Community Structure,0.09009181569599999,21,0.3001529871515524,0.00705246729387549,0.7691402549409633
Degree Measures,0.20496367415494454,8,0.45272913994456393,0.01604473832881668,0.6883595658018947
Local Reach,0.591257159872729,3,0.7689324806982268,0.04628413524645247,0.5653127018196215
Local Structure,0.6304065429621369,9,0.793981450011357,0.049348783701813885,0.5574193646169916
Influence,1.3747656623847333,5,1.1725040138032505,0.10761787622781675,0.4602983440520186
