type,distance_sq,n_measures,distance,normalized_contribution,type_similarity
Component Measure,6.773012701867853,14,2.602501239551646,0.5305942190315729,0.2775849148977549
Link Measure,1.3447740542603746,8,1.1596439342575697,0.1053488854224988,0.46303929279146394
Global Network Measure,0.05424536432500001,7,0.23290634238895258,0.004249553040431917,0.8110916179264198
Triad Census,0.5971392761517998,48,0.7727478735990154,0.046779573851303366,0.564096008740267
K-Core Decomposition,0.7138543039430001,27,0.8448989903787316,0.05592296716031661,0.5420350952627028
S-Core Decomposition,0.3999996890779986,286,0.6324552862282034,0.031335763268343204,0.6125742055149977
Community Structure,0.09009181569599999,21,0.3001529871515524,0.007057745008683164,0.7691402549409633
Degree Measures,0.20425176667606726,8,0.4519422160808473,0.016000974956893184,0.6887326430243542
Local Reach,0.5914542549841244,3,0.7690606315396235,0.04633421231140712,0.565271750538982
Local Structure,0.6213686976753278,9,0.7882694321584008,0.04867769386919698,0.5591998509939425
Influence,1.3747656623847333,5,1.1725040138032505,0.10769841207935218,0.4602983440520186
