triad,AUMC_density,peak_tau,peak_density
003,0.7947196951393551,6.259999999999991,0.9998007931403814
012,0.001776781760895358,1.0,0.01689101300987164
102,1.2205464186516963e-5,1.0,0.0001446112149397136
021D,5.427726858222856e-5,1.0,0.0010093167701863354
021U,3.322197352543079e-6,1.0,3.596391761301132e-5
021C,5.78977147309138e-6,1.0,6.777234054384696e-5
111D,9.362069834058596e-8,1.0,1.1182058417490914e-6
111U,3.383719525738322e-7,1.0,6.830122168521478e-6
030T,1.664442272640846e-6,1.0,2.5008522541820898e-5
030C,5.349754190890625e-9,2.259607653084159,3.02217795067322e-8
201,0.0,1.0,0.0
120D,2.674877095445313e-8,1.0,5.137702516144475e-7
120U,1.2036946929503906e-7,1.0,2.6292948170857016e-6
120C,8.024631286335938e-9,1.0,9.066533852019661e-8
210,4.012315643167969e-9,1.0,9.066533852019661e-8
300,6.687192738613282e-10,1.0,1.51108897533661e-8
