node,community,in_degree,out_degree,total_degree,in_degree_in_group,out_degree_in_group,total_degree_in_group,in_degree_between,out_degree_between,total_degree_between,weighted_in_degree,weighted_out_degree,weighted_total_degree,weighted_in_degree_in_group,weighted_out_degree_in_group,weighted_total_degree_in_group,weighted_in_degree_between,weighted_out_degree_between,weighted_total_degree_between,in_group_indegree_ratio,in_group_outdegree_ratio,in_group_indegree_strength_fraction,in_group_outdegree_strength_fraction,k_core_in,k_core_out,k_core_undirected,s_core_in,s_core_out,s_core_undirected,in_reach_2,out_reach_2,undirected_reach_2,out_degree_normalized,in_degree_normalized,in_out_ratio,weighted_in_out_ratio,ego_density,density_clustering_coefficient,cg_cycle,cg_middleman,cg_in,cg_out,cg_total,barrat_local,r_norm_ranked,page_rank,salsa_hub,salsa_authority,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized,in_reach_2_normalized,out_reach_2_normalized
3237320422878733185,5,1,96,97,1,82,83,0,14,14,1.0,98.0,99.0,1.0,84.0,85.0,0.0,14.0,14.0,1.0,0.8541666666666666,1.0,0.8571428571428571,1,4,11,1.0,94.0,52.0,14,389,442,0.0019438659129227412,1.983536645839532e-5,0.010416666666655815,0.010204081632642649,0.03608247422680412,0.026145180146668084,0.041237113402061855,0.28865979381443296,0.0,0.027175080558539205,0.029987373737373736,0.05808080808080808,0.0,0.0005457074489218299,0.004999999999999999,0.0006548788474132283,0.000668616886817186,0.0,4.3471003444123024e-6,0.0013884756520876724,0.038579787761578895
2298426527133167631,5,13,130,143,0,113,113,13,17,30,13.0,131.0,144.0,0.0,114.0,114.0,13.0,17.0,30.0,0.0,0.8692307692307693,0.0,0.8702290076335878,4,4,12,17.0,102.0,55.0,57,345,811,0.002598433006049787,0.00025785976395913915,0.09999999999992308,0.0992366412212983,0.017968142968142968,0.011100787324563549,0.0017683465959328027,0.030061892130857647,0.10256410256410256,0.009971004201432038,0.011663732394366197,0.022838419405320814,0.0,0.0006545524894458191,0.005,0.0006548788474132289,2.7900024958116276e-6,0.0,7.976240677190898e-6,0.005653079440642666,0.034216007140731926
2136735006556740672,4,5,18,23,3,18,21,2,0,2,6.0,18.0,24.0,4.0,18.0,22.0,2.0,0.0,2.0,0.6,1.0,0.6666666666666666,1.0,3,2,14,17.0,17.0,67.0,35,116,241,0.00035703659625111573,0.00011901219875037192,0.2777777777762346,0.3333333333314815,0.12450592885375494,0.08264462809917356,0.05102040816326531,0.28061224489795916,0.16666666666666666,0.042483660130718956,0.094106463878327,0.18253968253968253,0.48863636363636365,0.0006306739824973197,0.004999999999999999,0.0006548788474132285,0.0,2.3252405016660482e-5,2.3702515452564814e-6,0.003471189130219181,0.011504512545869285
2101303336580794907,4,8,31,39,6,22,28,2,9,11,14.0,32.0,46.0,11.0,23.0,34.0,3.0,9.0,12.0,0.75,0.7096774193548387,0.7857142857142857,0.71875,3,4,12,46.0,31.0,65.0,27,268,379,0.0006347317266686502,0.00027769513041753447,0.2580645161281998,0.4374999999986328,0.09743954480796586,0.07158509861212564,0.02342606149341142,0.3367496339677892,0.23979591836734693,0.0296875,0.10051694428489374,0.17391304347826086,0.7272727272727273,0.0007609544136055699,0.004999999999999999,0.0006548788474132285,0.0,0.0009954204316712234,3.7274910193037613e-6,0.002677774471883368,0.026579391054249727
2118514889134643790,4,13,22,35,10,14,24,3,8,11,27.0,22.0,49.0,20.0,14.0,34.0,7.0,8.0,15.0,0.7692307692307693,0.6363636363636364,0.7407407407407407,0.6363636363636364,4,4,13,48.0,21.0,94.0,57,263,459,0.000436378062084697,0.0005355548943766736,0.590909090906405,1.2272727272671489,0.11647727272727272,0.0859375,0.036613272311212815,0.1945080091533181,0.14814814814814814,0.08441558441558442,0.11325301204819277,0.1718235681369322,0.8863636363636364,0.0012765322237314513,0.004999999999999999,0.0006548788474132288,0.0,0.0014527671579643853,4.514296511505083e-6,0.005653079440642666,0.026083506892789845
2148339629432266027,4,8,24,32,2,18,20,6,6,12,8.0,24.0,32.0,2.0,18.0,20.0,6.0,6.0,12.0,0.25,0.75,0.25,0.75,4,4,14,17.0,25.0,95.0,48,278,475,0.0004760487950014877,0.00015868293166716255,0.3333333333319445,0.3333333333319445,0.07291666666666667,0.0439453125,0.015625,0.03125,0.16071428571428573,0.04528985507246377,0.04334677419354839,0.08064516129032258,0.0,0.0017700246253958985,0.005,0.0006548788474132285,0.0,0.0010142876261484135,4.671657609945348e-6,0.0047604879500148765,0.027571159377169495
2174859783520381988,4,2,42,44,2,25,27,0,17,17,2.0,42.0,44.0,2.0,25.0,27.0,0.0,17.0,17.0,1.0,0.5952380952380952,1.0,0.5952380952380952,0,4,12,3.0,47.0,42.0,3,488,589,0.0008330853912526034,3.967073291679064e-5,0.047619047618934235,0.047619047618934235,0.029292929292929294,0.007231404958677686,0.0,0.03571428571428571,0.0,0.005226480836236934,0.006342494714587738,0.011627906976744186,0.0,0.0005698292410027095,0.004999999999999999,0.0006548788474132287,0.0,0.0011242716869499514,5.792855436332231e-6,0.0002975304968759298,0.04839829415848458
1878305908224690747,3,12,40,52,8,39,47,4,1,5,12.0,41.0,53.0,8.0,40.0,48.0,4.0,1.0,5.0,0.6666666666666666,0.975,0.6666666666666666,0.975609756097561,4,3,12,34.0,48.0,42.0,60,108,327,0.0008132500247942081,0.00023802439750074384,0.29999999999925,0.2926829268285544,0.04600301659125189,0.02691272587466359,0.002061855670103093,0.0577319587628866,0.17424242424242425,0.015634771732332707,0.02850796001480933,0.052075471698113204,0.17045454545454544,0.0007593972438692269,0.004999999999999999,0.0006548788474132286,0.0,0.0010742680558900597,3.2160674493729024e-6,0.005950609937518596,0.010711097887533471
2135695114418399276,3,16,25,41,8,25,33,8,0,8,17.0,25.0,42.0,8.0,25.0,33.0,9.0,0.0,9.0,0.5,1.0,0.47058823529411764,1.0,4,3,14,44.0,26.0,61.0,72,169,471,0.0004958841614598829,0.0003372012297927204,0.6399999999974401,0.67999999999728,0.13170731707317074,0.109375,0.019441069258809233,0.2648845686512758,0.12156862745098039,0.075,0.11501787842669844,0.21794871794871795,0.375,0.0012329356053419316,0.005,0.0006548788474132288,0.0,0.000508235997054074,4.6323173353352815e-6,0.007140731925022315,0.016760884657344044
9529544724177857268,5,5,43,48,5,38,43,0,5,5,6.0,43.0,49.0,6.0,38.0,44.0,0.0,5.0,5.0,1.0,0.8837209302325582,1.0,0.8837209302325582,2,4,11,13.0,56.0,38.0,29,263,429,0.0008529207577109987,0.00011901219875037192,0.11627906976717144,0.13953488372060574,0.07185374149659864,0.05251736111111111,0.004228329809725159,0.3657505285412262,0.0,0.02602436323366556,0.0584020842379505,0.116804168475901,0.0,0.0005844674727047191,0.004999999999999999,0.0006548788474132289,0.0006267312648660095,0.0,4.219244451929587e-6,0.0028761281364673213,0.026083506892789845
