triad,AUMC_density,peak_tau,peak_density
003,0.23281498325489366,1.1132635768448034,0.9992488167330774
012,0.00016773336734636452,1.1132635768448034,0.0007199165900074703
102,6.760229305522181e-6,1.1132635768448034,2.9015104783834064e-5
021D,1.1140857895500555e-7,1.1132635768448034,4.781689268375854e-7
021U,2.087558809545249e-7,1.1132635768448034,8.959864357247959e-7
021C,1.1681676239942327e-7,1.1132635768448034,5.013810106646527e-7
111D,1.69456414591756e-8,1.1132635768448034,7.27311959914774e-8
111U,8.653093511068391e-9,1.1132635768448034,3.71393341233076e-8
030T,4.542874093310905e-8,1.1132635768448034,1.949815041473649e-7
030C,2.5238189407282807e-9,1.1132635768448034,1.0832305785964718e-8
201,0.0,1.1132635768448034,0.0
120D,8.292547948107208e-9,1.1132635768448034,3.5591861868169785e-8
120U,2.5238189407282807e-9,1.1132635768448034,1.0832305785964718e-8
120C,2.8843645036894637e-9,1.1132635768448034,1.2379778041102535e-8
210,3.6054556296118296e-10,1.1132635768448034,1.5474722551378168e-9
300,0.0,1.1132635768448034,0.0
