type,distance_sq,n_measures,distance,normalized_contribution,type_similarity
Component Measure,7.978673229850599,14,2.8246545328323958,0.47936968557553555,0.26146152323447563
Link Measure,2.6948200349395317,8,1.641590702623383,0.16190850228062373,0.37855978180377936
Global Network Measure,0.069403057049,7,0.2634445995821512,0.004169831333747085,0.7914870191623138
Triad Census,1.0065579244404173,48,1.003273603978704,0.060475387555331876,0.49918293637668804
K-Core Decomposition,1.6474717218390003,14,1.2835387496445132,0.09898237194849197,0.43791680791739296
S-Core Decomposition,0.18645816901599946,189,0.4318080233344437,0.011202663811294276,0.6984176535560722
Community Structure,0.16843972469599996,53,0.41041408930006285,0.010120090839647437,0.7090116353674996
Degree Measures,0.3376744003649244,8,0.581097582480709,0.020287943429520845,0.6324720315054944
Local Reach,1.0145247206843506,3,1.0072361791974862,0.060954043655222084,0.4981974768907416
Local Structure,0.12339128467062568,9,0.3512709562013713,0.007413518467459135,0.7400440270034017
Influence,1.4166779016724327,5,1.1902427910608964,0.08511596110312691,0.45657038757590257
