type,distance_sq,n_measures,distance,normalized_contribution,type_similarity
Component Measure,7.978673229850599,14,2.8246545328323958,0.47957224825498707,0.26146152323447563
Link Measure,2.6948200349395317,8,1.641590702623383,0.16197691841338058,0.37855978180377936
Global Network Measure,0.069403057049,7,0.2634445995821512,0.00417159333963365,0.7914870191623138
Triad Census,1.0065579244404173,48,1.003273603978704,0.06050094206349684,0.49918293637668804
K-Core Decomposition,1.6474717218390003,14,1.2835387496445132,0.09902419798606521,0.43791680791739296
S-Core Decomposition,0.18645816901599946,189,0.4318080233344437,0.011207397614175212,0.6984176535560722
Community Structure,0.16843972469599996,53,0.41041408930006285,0.01012436718998509,0.7090116353674996
Degree Measures,0.3323898139163266,8,0.5765325783651143,0.01997887690907407,0.6343034160683274
Local Reach,1.0145021730045052,3,1.0072249862888158,0.06097844515640737,0.4982002549942908
Local Structure,0.12166825406559414,9,0.3488097677324907,0.007313085329174277,0.7413943937261952
Influence,1.4166779016724327,5,1.1902427910608964,0.08515192774362158,0.45657038757590257
