triad,AUMC_density,peak_tau,peak_density
003,0.1638944338786477,1.207897070815434,0.9989916954155019
012,0.000159894398482043,1.207897070815434,0.000974610134382533
102,7.057414577618219e-7,1.207897070815434,4.301731539806383e-6
021D,4.621040910293706e-6,1.207897070815434,2.816679849528514e-5
021U,4.817347834551686e-8,1.207897070815434,2.9363355220521383e-7
021C,1.37896581764042e-7,1.207897070815434,8.405260431874246e-7
111D,0.0,1.207897070815434,0.0
111U,2.4086739172758434e-9,1.207897070815434,1.4681677610260693e-8
030T,1.2043369586379215e-8,1.207897070815434,7.340838805130346e-8
030C,0.0,1.207897070815434,0.0
201,0.0,1.207897070815434,0.0
120D,0.0,1.207897070815434,0.0
120U,6.021684793189609e-10,1.207897070815434,3.670419402565173e-9
120C,0.0,1.207897070815434,0.0
210,0.0,1.207897070815434,0.0
300,0.0,1.207897070815434,0.0
