triad,AUMC_density,peak_tau,peak_density
003,0.1568112185510705,1.1978600582696364,0.9999939461137921
012,9.305173103193794e-7,1.1978600582696364,5.933961139205215e-6
102,1.8605678811971568e-8,1.1978600582696364,1.1864945854782532e-7
021D,9.631131334652545e-11,1.1978600582696364,6.141826533758317e-10
021U,2.3151758015991688e-11,1.1978600582696364,1.4764006090765182e-10
021C,6.01945708415784e-11,1.1978600582696364,3.8386415835989475e-10
111D,1.8521406412793355e-12,1.1978600582696364,1.1811204872612147e-11
111U,8.334632885757009e-12,1.1978600582696364,5.315042192675466e-11
030T,8.334632885757009e-12,1.1978600582696364,5.315042192675466e-11
030C,0.0,1.1978600582696364,0.0
201,0.0,1.1978600582696364,0.0
120D,9.260703206396677e-13,1.1978600582696364,5.9056024363060734e-12
120U,9.260703206396677e-13,1.1978600582696364,5.9056024363060734e-12
120C,0.0,1.1978600582696364,0.0
210,0.0,1.1978600582696364,0.0
300,0.0,1.1978600582696364,0.0
