measure,network_1_values,network_2_values,type,weight_1,weight_2,weight
num_nodes,5.463849759152821,7.898782494756193,Component Measure,1.0,1.0,1.0
num_edges,8.425077950600148,12.147712333257058,Component Measure,1.0,1.0,1.0
largest_wcc_proportion,0.398305,0.777283,Component Measure,1.0,1.0,1.0
second_largest_wcc_proportion,0.008475,0.039347,Component Measure,1.0,1.0,1.0
min_wcc_size_proportion,0.008475,0.000742,Component Measure,1.0,1.0,1.0
largest_scc_proportion,0.398305,0.777283,Component Measure,1.0,1.0,1.0
second_largest_scc_proportion,0.008475,0.039347,Component Measure,1.0,1.0,1.0
num_isolates_proportion,0.986111,0.822857,Component Measure,1.0,1.0,1.0
num_dyads_proportion,0.0,0.085714,Component Measure,1.0,1.0,1.0
num_triads_proportion,0.0,0.028571,Component Measure,1.0,1.0,1.0
num_groups_proportion,0.013889,0.062857,Component Measure,1.0,1.0,1.0
bow_tie_scc_fraction,0.3983050847457627,0.77728285077951,Component Measure,1.0,1.0,1.0
bow_tie_in_fraction,0.0,0.0,Component Measure,1.0,1.0,1.0
bow_tie_out_fraction,0.0,0.0,Component Measure,1.0,1.0,1.0
all_link_mean,1.0,0.060342367530412284,Link Measure,1.0,1.0,1.0
all_link_std,0.0396769427551587,1.0,Link Measure,1.0,1.0,1.0
non_self_proportion,0.9482456140350877,0.9869926111246567,Link Measure,1.0,1.0,1.0
non_self_mean,1.0,0.05794810104829009,Link Measure,1.0,1.0,1.0
non_self_std,0.0,1.0,Link Measure,1.0,1.0,1.0
self_loops_proportion,0.05175438596491228,0.013007388875343206,Link Measure,1.0,1.0,1.0
self_loops_mean,1.0,0.24203760145582834,Link Measure,1.0,1.0,1.0
self_loops_std,0.027159719746360646,1.0,Link Measure,1.0,1.0,1.0
degree assortativity,1.0,0.663736,Global Network Measure,1.0,1.0,1.0
transitivity,1.0,0.636438,Global Network Measure,1.0,1.0,1.0
local clustering coefficient,1.0,0.853617,Global Network Measure,1.0,1.0,1.0
reciprocity,1.0,1.0,Global Network Measure,1.0,1.0,1.0
density,0.156599,0.051352,Global Network Measure,1.0,1.0,1.0
resolution,1.041667,0.608333,Global Network Measure,1.0,1.0,1.0
modularity,0.030415,0.687957,Global Network Measure,1.0,1.0,1.0
003_AUMC_density,0.0,1.3582332708447313,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
012_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
102_AUMC_density,0.0,0.005392322193294516,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021D_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021U_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021C_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111D_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111U_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030T_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030C_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
201_AUMC_density,0.0,0.00017612247943664806,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120D_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120U_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120C_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
210_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
300_AUMC_density,0.0,3.629224126368194e-5,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
003_peak_tau,25.0,39.00716095782976,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
012_peak_tau,25.0,1.6877430746935105,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
