type,distance_sq,n_measures,distance,normalized_contribution,type_similarity
Component Measure,20.25695585540225,14,4.500772806463602,0.09532588071112791,0.1817926380862276
Link Measure,5.216566488910683,8,2.2839804046687187,0.024548298292852874,0.3045085161221837
Global Network Measure,0.897895556558,7,0.9475735098439593,0.004225347842315277,0.5134594380882294
Triad Census,173.9615560030749,48,13.189448661830975,0.8186342831689021,0.07047490172679917
K-Core Decomposition,1.6350302167409978,174,1.2786830008805927,0.007694181520298672,0.43884998466814035
S-Core Decomposition,1.549591069907957,834,1.244825718688346,0.007292119039775718,0.44546888057942474
Community Structure,0.23431134689099947,118,0.48405717316345953,0.0011026304081636453,0.6738284872599422
Degree Measures,3.120399125539441,8,1.76646514982307,0.014684081701888762,0.3614721118261531
Local Reach,1.393438961807769,3,1.1804401559620754,0.006557293070078995,0.4586229974097914
Local Structure,3.382259032146216,9,1.8390919042142009,0.015916351071403503,0.35222530081384534
Influence,0.8541594941614317,5,0.9242074951878673,0.004019533173193714,0.5196944729198066
