type,distance_sq,n_measures,distance,normalized_contribution,type_similarity
Component Measure,20.25695585540225,14,4.500772806463602,0.09534789593745815,0.1817926380862276
Link Measure,5.216566488910683,8,2.2839804046687187,0.024553967648739315,0.3045085161221837
Global Network Measure,0.897895556558,7,0.9475735098439593,0.0042263236737304045,0.5134594380882294
Triad Census,173.9615560030749,48,13.189448661830975,0.818823344302051,0.07047490172679917
K-Core Decomposition,1.6350302167409978,174,1.2786830008805927,0.007695958468450966,0.43884998466814035
S-Core Decomposition,1.549591069907957,834,1.244825718688346,0.007293803132803658,0.44546888057942474
Community Structure,0.23431134689099947,118,0.48405717316345953,0.001102885057350343,0.6738284872599422
Degree Measures,3.1203991255394268,8,1.766465149823066,0.014687472946529787,0.3614721118261536
Local Reach,1.3450362843209347,3,1.1597569936503658,0.0063309798661251625,0.4630150535175838
Local Structure,3.381596303716706,9,1.8389117172166547,0.01591690749443414,0.35224765671136365
Influence,0.8541594941614317,5,0.9242074951878673,0.004020461472328111,0.5196944729198066
