measure,value
num_nodes,118
num_edges,2280
num_wcc,72
num_scc,72
largest_wcc,47
second_largest_wcc,1
min_wcc_size,1
largest_scc,47
second_largest_scc,1
num_isolates,71
num_dyads,0
num_triads,0
num_groups,1
bow_tie_in_size,0
bow_tie_out_size,0
bow_tie_scc_fraction,0.3983050847457627
bow_tie_in_fraction,0.0
bow_tie_out_fraction,0.0
all_links,"(count = 2280, min = 4.0, max = 25.0, mean = 24.986842105263158, std = 0.4783035001201087, sum = 56970.0)"
nonself_links,"(count = 2162, min = 25.0, max = 25.0, mean = 25.0, std = 0.0, sum = 54050.0)"
self_loops,"(count = 118, min = 4.0, max = 25.0, mean = 24.74576271186441, std = 2.0878439153540147, sum = 2920.0)"
degree assortativity,1.0
transitivity,1.0
local clustering coefficient,1.0
reciprocity,1.0
density,0.156599
resolution,1.041667
modularity,0.030415
