node,community,in_degree,out_degree,total_degree,in_degree_in_group,out_degree_in_group,total_degree_in_group,in_degree_between,out_degree_between,total_degree_between,weighted_in_degree,weighted_out_degree,weighted_total_degree,weighted_in_degree_in_group,weighted_out_degree_in_group,weighted_total_degree_in_group,weighted_in_degree_between,weighted_out_degree_between,weighted_total_degree_between,in_group_indegree_ratio,in_group_outdegree_ratio,in_group_indegree_strength_fraction,in_group_outdegree_strength_fraction,k_core_in,k_core_out,k_core_undirected,s_core_in,s_core_out,s_core_undirected,in_reach_2,out_reach_2,undirected_reach_2,out_degree_normalized,in_degree_normalized,in_out_ratio,weighted_in_out_ratio,ego_density,density_clustering_coefficient,cg_cycle,cg_middleman,cg_in,cg_out,cg_total,barrat_local,r_norm_ranked,page_rank,salsa_hub,salsa_authority,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized,in_reach_2_normalized,out_reach_2_normalized
627477482,1,1,1,1,1,1,1,0,0,0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,3.0,3.0,3.0,1,1,1,0.0,0.0,0.9999999999,0.9999999999960001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0004348887639058288,0.0,7.243227582210633e-5,0.008547008547008548,0.008547008547008548
37203715,2,1,1,1,1,1,1,0,0,0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,3.0,3.0,3.0,1,1,1,0.0,0.0,0.9999999999,0.9999999999960001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0004348887639058288,0.0,7.243227582210633e-5,0.008547008547008548,0.008547008547008548
721910637,3,1,1,1,1,1,1,0,0,0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,3.0,3.0,3.0,1,1,1,0.0,0.0,0.9999999999,0.9999999999960001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0004348887639058288,0.0,7.243227582210633e-5,0.008547008547008548,0.008547008547008548
120435712,4,1,1,1,1,1,1,0,0,0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,3.0,3.0,3.0,1,1,1,0.0,0.0,0.9999999999,0.9999999999960001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0004348887639058288,0.0,7.243227582210633e-5,0.008547008547008548,0.008547008547008548
204898378,5,1,1,1,1,1,1,0,0,0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,3.0,3.0,3.0,1,1,1,0.0,0.0,0.9999999999,0.9999999999960001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0004348887639058288,0.0,7.243227582210633e-5,0.008547008547008548,0.008547008547008548
47356385,6,1,1,1,1,1,1,0,0,0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,3.0,3.0,3.0,1,1,1,0.0,0.0,0.9999999999,0.9999999999960001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0004348887639058288,0.0,7.243227582210633e-5,0.008547008547008548,0.008547008547008548
810903859,7,1,1,1,1,1,1,0,0,0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,3.0,3.0,3.0,1,1,1,0.0,0.0,0.9999999999,0.9999999999960001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0004348887639058288,0.0,7.243227582210633e-5,0.008547008547008548,0.008547008547008548
609175003,8,47,47,93,1,1,1,46,46,92,1175.0,1175.0,2325.0,25.0,25.0,25.0,1150.0,1150.0,2300.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,46,46,46,4.0,4.0,4.0,47,47,47,0.39316239316239315,0.39316239316239315,0.9999999999978723,0.9999999999999148,1.0217391304347827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008474576269495453,0.021276595744680847,0.021276595744680847,0.0,0.0013205961366114238,0.0034043169636389977,0.4017094017094017,0.4017094017094017
581216344,9,1,1,1,1,1,1,0,0,0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,3.0,3.0,3.0,1,1,1,0.0,0.0,0.9999999999,0.9999999999960001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0004348887639058288,0.0,7.243227582210633e-5,0.008547008547008548,0.008547008547008548
87819121,10,1,1,1,1,1,1,0,0,0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,3.0,3.0,3.0,1,1,1,0.0,0.0,0.9999999999,0.9999999999960001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0004348887639058288,0.0,7.243227582210633e-5,0.008547008547008548,0.008547008547008548
807282783,11,1,1,1,1,1,1,0,0,0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,3.0,3.0,3.0,1,1,1,0.0,0.0,0.9999999999,0.9999999999960001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0004348887639058288,0.0,7.243227582210633e-5,0.008547008547008548,0.008547008547008548
601086974,12,47,47,93,1,1,1,46,46,92,1175.0,1175.0,2325.0,25.0,25.0,25.0,1150.0,1150.0,2300.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,46,46,46,4.0,4.0,4.0,47,47,47,0.39316239316239315,0.39316239316239315,0.9999999999978723,0.9999999999999148,1.0217391304347827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008474576297501485,0.021276595744680847,0.021276595744680847,0.0,0.0013205961366114238,0.0034043169636389977,0.4017094017094017,0.4017094017094017
908817874,13,47,47,93,1,1,1,46,46,92,1175.0,1175.0,2325.0,25.0,25.0,25.0,1150.0,1150.0,2300.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,46,46,46,4.0,4.0,4.0,47,47,47,0.39316239316239315,0.39316239316239315,0.9999999999978723,0.9999999999999148,1.0217391304347827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008474576270695021,0.021276595744680847,0.021276595744680847,0.0,0.0013205961366114238,0.0034043169636389977,0.4017094017094017,0.4017094017094017
71094893,14,47,47,93,1,1,1,46,46,92,1175.0,1175.0,2325.0,25.0,25.0,25.0,1150.0,1150.0,2300.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,46,46,46,4.0,4.0,4.0,47,47,47,0.39316239316239315,0.39316239316239315,0.9999999999978723,0.9999999999999148,1.0217391304347827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0084745762916391,0.021276595744680847,0.021276595744680847,0.0,0.0013205961366114238,0.0034043169636389977,0.4017094017094017,0.4017094017094017
479572646,15,47,47,93,1,1,1,46,46,92,1175.0,1175.0,2325.0,25.0,25.0,25.0,1150.0,1150.0,2300.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,46,46,46,4.0,4.0,4.0,47,47,47,0.39316239316239315,0.39316239316239315,0.9999999999978723,0.9999999999999148,1.0217391304347827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008474576283274022,0.021276595744680847,0.021276595744680847,0.0,0.0013205961366114238,0.0034043169636389977,0.4017094017094017,0.4017094017094017
397557158,16,1,1,1,1,1,1,0,0,0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,3.0,3.0,3.0,1,1,1,0.0,0.0,0.9999999999,0.9999999999960001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0004348887639058288,0.0,7.243227582210633e-5,0.008547008547008548,0.008547008547008548
