triad,AUMC_density,peak_tau,peak_density
003,1.3582332708447313,39.00716095782976,0.9999204013501523
012,0.0,1.6877430746935105,0.0
102,0.005392322193294516,1.6877430746935105,0.03345922587895467
021D,0.0,1.6877430746935105,0.0
021U,0.0,1.6877430746935105,0.0
021C,0.0,1.6877430746935105,0.0
111D,0.0,1.6877430746935105,0.0
111U,0.0,1.6877430746935105,0.0
030T,0.0,1.6877430746935105,0.0
030C,0.0,1.6877430746935105,0.0
201,0.00017612247943664806,1.6877430746935105,0.0012281706677493846
120D,0.0,1.6877430746935105,0.0
120U,0.0,1.6877430746935105,0.0
120C,0.0,1.6877430746935105,0.0
210,0.0,1.6877430746935105,0.0
300,3.629224126368194e-5,1.6877430746935105,0.0004046484478434218
